,animal,birthdate,genotype,sex,recording,start,cell,dt,angiotensin,potassium,end,len_seg,num_events,activity,num_events_5min,activity_5min,ISI,intraburst_freq,burst_num_spikes,burst_length,burst_n,burst_per_cell_per_sec,pos,comment
0,USC-2216,2020-02-11,wt,w,200526_s1r2_Results.csv,0,Mean10,0.05,500,4,9000,450.0,54,0.12,43,0.1433333333333333,133.45000000000002,0.633385951065509,13.666666666666666,20.283333333333335,3.0,0.006666666666666667,,
1,USC-2216,2020-02-11,wt,w,200526_s1r2_Results.csv,0,Mean11,0.05,500,4,9000,450.0,20,0.04444444444444444,0,0.0,,0.6622516556291391,11.0,15.100000000000001,1.0,0.0022222222222222222,,
2,USC-2216,2020-02-11,wt,w,200526_s1r2_Results.csv,0,Mean12,0.05,500,4,9000,450.0,16,0.035555555555555556,0,0.0,,,,,,,,
3,USC-2216,2020-02-11,wt,w,200526_s1r2_Results.csv,0,Mean3,0.05,500,4,9000,450.0,12,0.026666666666666665,0,0.0,,,,,,,,
4,USC-2216,2020-02-11,wt,w,200526_s1r2_Results.csv,0,Mean4,0.05,500,4,9000,450.0,6,0.013333333333333332,1,0.003333333333333333,,,,,,,,
5,USC-2216,2020-02-11,wt,w,200526_s1r2_Results.csv,0,Mean5,0.05,500,4,9000,450.0,12,0.026666666666666665,0,0.0,,,,,,,,
6,USC-2216,2020-02-11,wt,w,200526_s1r2_Results.csv,0,Mean6,0.05,500,4,9000,450.0,6,0.013333333333333332,4,0.013333333333333332,,,,,,,,
7,USC-2216,2020-02-11,wt,w,200526_s1r2_Results.csv,0,Mean7,0.05,500,4,9000,450.0,76,0.16888888888888887,76,0.2533333333333333,82.72500000000001,0.9567320799025163,24.0,27.116666666666664,3.0,0.006666666666666667,,
8,USC-2216,2020-02-11,wt,w,200526_s1r2_Results.csv,0,Mean8,0.05,500,4,9000,450.0,16,0.035555555555555556,4,0.013333333333333332,,,,,,,,
9,USC-2216,2020-02-11,wt,w,200526_s1r2_Results.csv,0,Mean9,0.05,500,4,9000,450.0,8,0.017777777777777778,0,0.0,,,,,,,,
10,USC-2320,2020-02-24,wt,m,200610_s2r1_Results.csv,0,Mean1,0.05,500,4,9000,450.0,77,0.1711111111111111,76,0.2533333333333333,,0.5032067094227923,52.0,101.35000000000001,1.0,0.0022222222222222222,,
11,USC-2320,2020-02-24,wt,m,200610_s2r1_Results.csv,0,Mean10,0.05,500,4,9000,450.0,124,0.27555555555555555,124,0.41333333333333333,19.900000000000002,0.616194727298089,56.5,84.4,2.0,0.0044444444444444444,,
12,USC-2320,2020-02-24,wt,m,200610_s2r1_Results.csv,0,Mean11,0.05,500,4,9000,450.0,39,0.08666666666666666,39,0.12999999999999998,,0.6959706959706959,39.0,54.6,1.0,0.0022222222222222222,,
13,USC-2320,2020-02-24,wt,m,200610_s2r1_Results.csv,0,Mean12,0.05,500,4,9000,450.0,140,0.31111111111111106,138,0.45999999999999996,,0.8203853325046613,133.0,160.9,1.0,0.0022222222222222222,,
14,USC-2320,2020-02-24,wt,m,200610_s2r1_Results.csv,0,Mean13,0.05,500,4,9000,450.0,88,0.19555555555555554,88,0.29333333333333333,,0.8076923076923077,85.0,104.0,1.0,0.0022222222222222222,,
15,USC-2320,2020-02-24,wt,m,200610_s2r1_Results.csv,0,Mean14,0.05,500,4,9000,450.0,151,0.3355555555555555,151,0.5033333333333333,,0.8484162895927602,151.0,176.8,1.0,0.0022222222222222222,,
16,USC-2320,2020-02-24,wt,m,200610_s2r1_Results.csv,0,Mean15,0.05,500,4,9000,450.0,51,0.11333333333333334,51,0.17,20.6,0.6083081005681625,22.0,33.1,2.0,0.0044444444444444444,,
17,USC-2320,2020-02-24,wt,m,200610_s2r1_Results.csv,0,Mean16,0.05,500,4,9000,450.0,92,0.20444444444444446,92,0.30666666666666664,,0.6558585114222549,90.0,135.70000000000002,1.0,0.0022222222222222222,,
18,USC-2320,2020-02-24,wt,m,200610_s2r1_Results.csv,0,Mean17,0.05,500,4,9000,450.0,125,0.27777777777777773,125,0.41666666666666663,,0.9616130283055448,125.0,128.95000000000002,1.0,0.0022222222222222222,,
19,USC-2320,2020-02-24,wt,m,200610_s2r1_Results.csv,0,Mean18,0.05,500,4,9000,450.0,83,0.18444444444444444,83,0.2766666666666666,,0.8515057113187953,,,,,,
20,USC-2320,2020-02-24,wt,m,200610_s2r1_Results.csv,0,Mean19,0.05,500,4,9000,450.0,192,0.42666666666666664,120,0.39999999999999997,47.925000000000004,0.6395089332620314,59.0,82.05000000000001,3.0,0.006666666666666667,,
21,USC-2320,2020-02-24,wt,m,200610_s2r1_Results.csv,0,Mean2,0.05,500,4,9000,450.0,60,0.13333333333333333,60,0.19999999999999998,,0.47619047619047616,57.0,117.60000000000001,1.0,0.0022222222222222222,,
22,USC-2320,2020-02-24,wt,m,200610_s2r1_Results.csv,0,Mean20,0.05,500,4,9000,450.0,125,0.27777777777777773,113,0.37666666666666665,8.700000000000001,0.5950820554210384,51.5,78.9,2.0,0.0044444444444444444,,
