,animal,genotype,sex,recording,cell,dt,angiotensin,potassium,len_seg,activity,activity_5min,ISI,intraburst_freq,burst_length,burst_per_cell_per_sec,pos,freq_exist,f_count,burstL_exist,b_count,isi_exist,isi_count
0,USC-2320,wt,m,200610_s2r1_Results.csv,Mean1,0.05,500,4,450.0,0.1711111111111111,0.2533333333333333,,0.5032067094227923,101.35,0.0022222222222222,,1.0,18,1.0,15,,6
1,USC-2320,wt,m,200610_s2r1_Results.csv,Mean10,0.05,500,4,450.0,0.2755555555555555,0.4133333333333333,19.9,0.616194727298089,84.4,0.0044444444444444,,1.0,18,1.0,15,1.0,6
2,USC-2320,wt,m,200610_s2r1_Results.csv,Mean12,0.05,500,4,450.0,0.311111111111111,0.4599999999999999,,0.8203853325046613,160.9,0.0022222222222222,,1.0,18,1.0,15,,6
3,USC-2320,wt,m,200610_s2r1_Results.csv,Mean13,0.05,500,4,450.0,0.1955555555555555,0.2933333333333333,,0.8076923076923077,104.0,0.0022222222222222,,1.0,18,1.0,15,,6
4,USC-2320,wt,m,200610_s2r1_Results.csv,Mean14,0.05,500,4,450.0,0.3355555555555555,0.5033333333333333,,0.8484162895927602,176.8,0.0022222222222222,,1.0,18,1.0,15,,6
5,USC-2320,wt,m,200610_s2r1_Results.csv,Mean15,0.05,500,4,450.0,0.1133333333333333,0.17,20.6,0.6083081005681625,33.1,0.0044444444444444,,1.0,18,1.0,15,1.0,6
6,USC-2320,wt,m,200610_s2r1_Results.csv,Mean16,0.05,500,4,450.0,0.2044444444444444,0.3066666666666666,,0.6558585114222549,135.70000000000002,0.0022222222222222,,1.0,18,1.0,15,,6
7,USC-2320,wt,m,200610_s2r1_Results.csv,Mean17,0.05,500,4,450.0,0.2777777777777777,0.4166666666666666,,0.9616130283055448,128.95000000000002,0.0022222222222222,,1.0,18,1.0,15,,6
8,USC-2320,wt,m,200610_s2r1_Results.csv,Mean18,0.05,500,4,450.0,0.1844444444444444,0.2766666666666666,,0.8515057113187953,,,,1.0,18,,15,,6
9,USC-2320,wt,m,200610_s2r1_Results.csv,Mean19,0.05,500,4,450.0,0.4266666666666666,0.3999999999999999,47.925,0.6395089332620314,82.05000000000001,0.0066666666666666,,1.0,18,1.0,15,1.0,6
10,USC-2320,wt,m,200610_s2r1_Results.csv,Mean2,0.05,500,4,450.0,0.1333333333333333,0.1999999999999999,,0.4761904761904761,117.6,0.0022222222222222,,1.0,18,1.0,15,,6
11,USC-2320,wt,m,200610_s2r1_Results.csv,Mean20,0.05,500,4,450.0,0.2777777777777777,0.3766666666666666,8.700000000000001,0.5950820554210384,78.9,0.0044444444444444,,1.0,18,1.0,15,1.0,6
12,USC-2320,wt,m,200610_s2r1_Results.csv,Mean21,0.05,500,4,450.0,0.1311111111111111,0.1933333333333333,,0.631697687535251,88.65,0.0022222222222222,,1.0,18,1.0,15,,6
13,USC-2320,wt,m,200610_s2r1_Results.csv,Mean4,0.05,500,4,450.0,0.2088888888888888,0.2466666666666666,200.15,0.5503989863065879,68.525,0.0044444444444444,,1.0,18,1.0,15,1.0,6
14,USC-2320,wt,m,200610_s2r1_Results.csv,Mean6,0.05,500,4,450.0,0.3466666666666666,0.5199999999999999,,0.6514042954920934,,,,1.0,18,,15,,6
15,USC-2320,wt,m,200610_s2r1_Results.csv,Mean7,0.05,500,4,450.0,0.2355555555555555,0.3533333333333333,,0.60841881853555,141.35,0.0022222222222222,,1.0,18,1.0,15,,6
16,USC-2320,wt,m,200610_s2r1_Results.csv,Mean8,0.05,500,4,450.0,0.1555555555555555,0.2333333333333333,,0.5662921348314607,,,,1.0,18,,15,,6
17,USC-2320,wt,m,200610_s2r1_Results.csv,Mean9,0.05,500,4,450.0,0.2377777777777777,0.3566666666666666,50.900000000000006,0.6488666348630244,39.8,0.0066666666666666,,1.0,18,1.0,15,1.0,6
18,USC-2320,wt,m,200610_s3r1_Results.csv,Mean1,0.05,500,4,450.0,0.1977777777777777,0.2733333333333333,35.050000000000004,0.4897854811447458,20.637500000000003,0.0088888888888888,,1.0,13,1.0,12,1.0,10
19,USC-2320,wt,m,200610_s3r1_Results.csv,Mean14,0.05,500,4,450.0,0.2422222222222222,0.2866666666666666,87.075,0.6530265770372214,45.900000000000006,0.0066666666666666,,1.0,13,1.0,12,1.0,10
20,USC-2320,wt,m,200610_s3r1_Results.csv,Mean15,0.05,500,4,450.0,0.3266666666666666,0.4033333333333333,69.60000000000001,0.6040542034887877,47.650000000000006,0.0066666666666666,,1.0,13,1.0,12,1.0,10
21,USC-2320,wt,m,200610_s3r1_Results.csv,Mean16,0.05,500,4,450.0,0.3022222222222222,0.29,135.15,0.5631942738534974,132.85,0.0044444444444444,,1.0,13,1.0,12,1.0,10
22,USC-2320,wt,m,200610_s3r1_Results.csv,Mean17,0.05,500,4,450.0,0.5311111111111111,0.5599999999999999,4.0,0.4942154965472753,375.25,0.0044444444444444,,1.0,13,1.0,12,1.0,10
23,USC-2320,wt,m,200610_s3r1_Results.csv,Mean18,0.05,500,4,450.0,0.1533333333333333,0.2266666666666666,,0.7330415754923413,,,,1.0,13,,12,,10
24,USC-2320,wt,m,200610_s3r1_Results.csv,Mean2,0.05,500,4,450.0,0.1999999999999999,0.2566666666666666,168.60000000000002,0.5755579739198503,66.3,0.0044444444444444,,1.0,13,1.0,12,1.0,10
25,USC-2320,wt,m,200610_s3r1_Results.csv,Mean4,0.05,500,4,450.0,0.1999999999999999,0.2566666666666666,168.60000000000002,0.5798921261002261,66.3,0.0044444444444444,,1.0,13,1.0,12,1.0,10
26,USC-2320,wt,m,200610_s3r1_Results.csv,Mean5,0.05,500,4,450.0,0.2355555555555555,0.2466666666666666,92.9,0.4484553029438958,28.325000000000003,0.0066666666666666,,1.0,13,1.0,12,1.0,10
27,USC-2320,wt,m,200610_s3r1_Results.csv,Mean6,0.05,500,4,450.0,0.2066666666666666,0.3066666666666666,29.700000000000003,0.4913894866338476,66.67500000000001,0.0044444444444444,,1.0,13,1.0,12,1.0,10
28,USC-2320,wt,m,200610_s3r1_Results.csv,Mean7,0.05,500,4,450.0,0.1555555555555555,0.1933333333333333,,0.3869407496977025,41.35,0.0022222222222222,,1.0,13,1.0,12,,10
29,USC-2320,wt,m,200610_s3r1_Results.csv,Mean8,0.05,500,4,450.0,0.1799999999999999,0.2466666666666666,35.91666666666667,0.4331974785489733,37.45,0.0088888888888888,,1.0,13,1.0,12,1.0,10
30,USC-2320,wt,m,200610_s3r1_Results.csv,Mean9,0.05,500,4,450.0,0.2155555555555555,0.3133333333333333,,0.4362416107382549,149.0,0.0022222222222222,,1.0,13,1.0,12,,10
31,USC-2320,wt,m,200610_s4r1_Results.csv,Mean1,0.05,500,4,450.0,0.3377777777777777,0.5066666666666666,8.35,0.5375126574248513,116.2,0.0044444444444444,,1.0,16,1.0,16,1.0,10
32,USC-2320,wt,m,200610_s4r1_Results.csv,Mean11,0.05,500,4,450.0,0.2688888888888889,0.4033333333333333,,0.8324363114459993,139.35,0.0022222222222222,,1.0,16,1.0,16,,10
33,USC-2320,wt,m,200610_s4r1_Results.csv,Mean13,0.05,500,4,450.0,0.1711111111111111,0.2566666666666666,,0.706648070664807,107.55,0.0022222222222222,,1.0,16,1.0,16,,10
34,USC-2320,wt,m,200610_s4r1_Results.csv,Mean16,0.05,500,4,450.0,0.1377777777777777,0.1733333333333333,140.925,0.6201911962391699,33.15,0.0066666666666666,,1.0,16,1.0,16,1.0,10
35,USC-2320,wt,m,200610_s4r1_Results.csv,Mean21,0.05,500,4,450.0,0.1955555555555555,0.2799999999999999,,0.7338675664276676,118.55,0.0022222222222222,,1.0,16,1.0,16,,10
36,USC-2320,wt,m,200610_s4r1_Results.csv,Mean22,0.05,500,4,450.0,0.3466666666666666,0.3433333333333333,114.1,0.799716451344155,94.625,0.0044444444444444,,1.0,16,1.0,16,1.0,10
37,USC-2320,wt,m,200610_s4r1_Results.csv,Mean23,0.05,500,4,450.0,0.1711111111111111,0.1766666666666666,72.9625,0.6441310256446725,17.425,0.0111111111111111,,1.0,16,1.0,16,1.0,10
38,USC-2320,wt,m,200610_s4r1_Results.csv,Mean24,0.05,500,4,450.0,0.3333333333333333,0.4499999999999999,103.85,0.6605202382399415,98.475,0.0044444444444444,,1.0,16,1.0,16,1.0,10
39,USC-2320,wt,m,200610_s4r1_Results.csv,Mean25,0.05,500,4,450.0,0.2044444444444444,0.3066666666666666,,0.9430051813471504,96.5,0.0022222222222222,,1.0,16,1.0,16,,10
40,USC-2320,wt,m,200610_s4r1_Results.csv,Mean26,0.05,500,4,450.0,0.2733333333333333,0.41,,0.713867758923347,170.9,0.0022222222222222,,1.0,16,1.0,16,,10
41,USC-2320,wt,m,200610_s4r1_Results.csv,Mean27,0.05,500,4,450.0,0.1799999999999999,0.2233333333333333,85.67500000000001,0.5203015135192163,46.33333333333334,0.0066666666666666,,1.0,16,1.0,16,1.0,10
42,USC-2320,wt,m,200610_s4r1_Results.csv,Mean28,0.05,500,4,450.0,0.1777777777777777,0.2666666666666666,164.70000000000002,0.5996717497071353,102.05,0.0044444444444444,,1.0,16,1.0,16,1.0,10
43,USC-2320,wt,m,200610_s4r1_Results.csv,Mean4,0.05,500,4,450.0,0.2222222222222222,0.2533333333333333,202.95,0.4990857859590856,24.8,0.0044444444444444,,1.0,16,1.0,16,1.0,10
44,USC-2320,wt,m,200610_s4r1_Results.csv,Mean5,0.05,500,4,450.0,0.2488888888888888,0.3266666666666666,6.550000000000001,0.5118193994471725,45.225,0.0088888888888888,,1.0,16,1.0,16,1.0,10
