,animal,birthdate,genotype,recording,start,cell,dt,end,angiotensin,potassium,pos,ctrl,TTA-P2,isra,start_corr,end_corr,activity,num_events,len_seg,ISI,intraburst_freq,burst_num_spikes,burst_length,burst_n,burst_per_cell_per_sec,activity_pos1,freq_pos1,control,genotype_2,activity_pos2,freq_pos2,perf_change,sex,exp
0,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,0,Mean1,0.1,4450,500,4,1,y,0,0,3250,4450,0.5499999999999999,66,120.0,40.6,0.8062770562770563,,,,,0.5499999999999999,0.8062770562770563,y,wt_ctrl,,,,,
1,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,4450,Mean1,0.1,10450,500,4,2,y,0,0,7750,8950,0.10833333333333334,13,120.0,,0.5729166666666667,12.0,19.200000000000003,1.0,0.008333333333333333,0.5499999999999999,0.8062770562770563,y,wt_ctrl,0.10833333333333334,0.5729166666666667,,,
2,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,0,Mean10,0.1,4450,500,4,1,y,0,0,3250,4450,0.575,69,120.0,,0.5908289241622575,,,,,0.575,0.5908289241622575,y,wt_ctrl,,,,,
3,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,4450,Mean10,0.1,10450,500,4,2,y,0,0,7750,8950,0.16666666666666666,20,120.0,,0.46511627906976744,17.0,34.4,1.0,0.008333333333333333,0.575,0.5908289241622575,y,wt_ctrl,0.16666666666666666,0.46511627906976744,,,
4,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,0,Mean11,0.1,4450,500,4,1,y,0,0,3250,4450,0.5,60,120.0,,0.7365792759051186,,,,,0.5,0.7365792759051186,y,wt_ctrl,,,,,
5,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,4450,Mean11,0.1,10450,500,4,2,y,0,0,7750,8950,0.024999999999999998,3,120.0,,,,,,,0.5,0.7365792759051186,y,wt_ctrl,0.024999999999999998,,,,
6,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,0,Mean12,0.1,4450,500,4,1,y,0,0,3250,4450,0.5499999999999999,66,120.0,43.5,0.8368005527948484,,,,,0.5499999999999999,0.8368005527948484,y,wt_ctrl,,,,,
7,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,4450,Mean12,0.1,10450,500,4,2,y,0,0,7750,8950,0.3833333333333333,46,120.0,,0.9146341463414633,,,,,0.5499999999999999,0.8368005527948484,y,wt_ctrl,0.3833333333333333,0.9146341463414633,,,
8,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,0,Mean13,0.1,4450,500,4,1,y,0,0,3250,4450,0.39999999999999997,48,120.0,,0.8576998050682262,45.0,51.300000000000004,1.0,0.008333333333333333,0.39999999999999997,0.8576998050682262,y,wt_ctrl,,,,,
9,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,4450,Mean13,0.1,10450,500,4,2,y,0,0,7750,8950,0.041666666666666664,5,120.0,,,,,,,0.39999999999999997,0.8576998050682262,y,wt_ctrl,0.041666666666666664,,,,
