,n_cells_pos1,n_cells_pos2,n_active_cells_pos2,n_percentage_active_cells,recording,animal,genotype,genotype_2,control,rel_percentage_active_cells
0,21,21,11,52.38095238095239,230223_slice05_500pM_AngII_ctrl_results.ome.csv,114001,wt,wt_ctrl,y,0.6938463551780782
1,20,20,14,70.0,230224_slice02_500pM_AngII_ctrl_results.csv,114002,wt,wt_ctrl,y,0.9272310382834318
2,25,25,16,64.0,230224_slice03_500pM_AngII_ctrl_results.csv,114002,wt,wt_ctrl,y,0.8477540921448519
3,39,39,30,76.92307692307693,230227_slice01_500pM_AngII_ctrl_results.csv,6092,wt,wt_ctrl,y,1.0189352069048703
4,19,19,8,42.10526315789473,230228_slice01_500pM_AngII_ctrl_results.csv,6223,wt,wt_ctrl,y,0.5577329553584551
5,14,14,8,57.14285714285714,230302_slice03_500pM_AngII_ctrl_results.csv,6096,KO,KO_ctrl,y,0.6836215666327569
6,22,22,19,86.36363636363636,230302_slice06_500pM_AngII_ctrl_results.csv,6093,wt,wt_ctrl,y,1.1439863459341042
7,11,11,9,81.81818181818183,220601_slice03_rec01_ctrl_dp_results.csv,5250,wt,wt_ctrl,y,1.083776538253362
8,26,26,23,88.46153846153845,220603_slice03_rec01_ctrl_dp_results.csv,5251,wt,wt_ctrl,y,1.1717754879406006
9,20,20,14,70.0,220607_slice03_rec01_ctrl_dp_results.csv,5255,wt,wt_ctrl,y,0.9272310382834318
10,10,10,8,80.0,220610_slice03_rec01_ctrl_dp_results.csv,5254,wt,wt_ctrl,y,1.0596926151810648
11,9,9,7,77.77777777777779,210323_s4r1_Results.csv,3904,wt,wt_ctrl,y,1.0302567092038133
12,8,8,7,87.5,210324_s4r1_Results.csv,3905,wt,wt_ctrl,y,1.1590387978542898
13,11,11,8,72.72727272727273,210421_s3r1_Results.csv,4050,wt,wt_ctrl,y,0.9633569228918772
14,9,9,9,100.0,210421_s5r1_Results.csv,4050,wt,wt_ctrl,y,1.3246157689763312
15,6,6,6,100.0,210622_slice04_rec01_1_Results.csv,4080,wt,wt_ctrl,y,1.3246157689763312
16,12,12,7,58.333333333333336,211214_slice04_rec01_ctrl_Results.csv,4719,wt,wt_ctrl,y,0.7726925319028598
17,8,8,8,100.0,220128_slice05_rec01_ctrl_Results.csv,4653,KO,KO_ctrl,y,1.1963377416073246
18,7,7,5,71.42857142857143,220211_slice05_rec01_ctrl_Results.csv,4689,KO,KO_ctrl,y,0.8545269582909462
19,20,20,15,75.0,220217_slice01_rec01_ctrl_Results.csv,4812,wt,wt_ctrl,y,0.9934618267322484
20,8,8,7,87.5,220405_slice04_rec01_ctrl_results.csv,4686,KO,KO_ctrl,y,1.046795523906409
21,14,14,14,100.0,220406_slice01_rec01_ctrl_results.csv,4690,KO,KO_ctrl,y,1.1963377416073246
22,18,18,15,83.33333333333334,220407_slice01_rec01_ctrl_untitled_results.csv,4774,KO,KO_ctrl,y,0.996948118006104
23,14,14,12,85.71428571428571,220408_slice01_rec01_ctrl_Results.csv,4773,KO,KO_ctrl,y,1.0254323499491353
24,25,25,16,64.0,210914_slice01_rec01_isra_Results.csv,4363,wt,wt,n,0.8477540921448519
25,14,14,12,85.71428571428571,210917_slice02_rec01_isra_Results.csv,4368,wt,wt,n,1.1353849448368551
26,27,27,19,70.37037037037037,211011_slice01_rec01_isra_Results.csv,4408,wt,wt,n,0.9321370226129737
27,9,9,3,33.33333333333333,211117_slice03_rec01_isra_Results.csv,4538,wt,wt,n,0.44153858965877696
28,31,31,19,61.29032258064516,211213_slice01_rec01_isra_Results.csv,4718,wt,wt,n,0.8118612777596868
29,25,25,15,60.0,220128_slice04_rec01_isra_Results.csv,4653,KO,KO,n,0.7178026449643947
30,6,6,1,16.666666666666664,220204_slice04_rec01_isra_Results.csv,4693,KO,KO,n,0.19938962360122073
31,11,11,7,63.63636363636363,220217_slice04_rec01_isra_Results.csv,4812,wt,wt,n,0.8429373075303925
32,14,14,4,28.57142857142857,220405_slice03_rec01_isra_results.csv,4686,KO,KO,n,0.34181078331637843
33,16,16,5,31.25,220406_slice02_rec01_isra_results.csv,4690,KO,KO,n,0.37385554425228895
34,15,15,4,26.666666666666668,220407_slice03_rec01_isra_results.csv,4774,KO,KO,n,0.31902339776195326
35,17,17,4,23.52941176470588,220407_slice04_rec01_isra_results.csv,4774,KO,KO,n,0.2814912333193705
36,14,14,5,35.714285714285715,220408_slice02_rec01_isra_results.csv,4773,KO,KO,n,0.4272634791454731
37,22,22,21,95.45454545454545,220603_slice04_rec01_isra_results.csv,5251,wt,wt,n,1.2644059612955887
38,11,11,7,63.63636363636363,220607_slice04_rec01_isra_results.csv,5255,wt,wt,n,0.8429373075303925
39,12,12,7,58.333333333333336,220610_slice04_rec01_isra_results.csv,5254,wt,wt,n,0.7726925319028598
40,16,16,9,56.25,220610_slice05_rec01_isra_results.csv,5254,wt,wt,n,0.7450963700491863
