,recording,pos,animal,genotype_2,control,genotype,start,dt,end,angiotensin,potassium,TTA-P2,isra,start_corr,end_corr,activity,num_events,len_seg,ISI,intraburst_freq,burst_num_spikes,burst_length,burst_n,burst_per_cell_per_sec,activity_pos1,freq_pos1,activity_pos2,freq_pos2,freq_exist,count,rel_activity,rel_intraburst_freq
0,210323_s4r1_Results.csv,1,3904,wt_ctrl,y,wt,0.0,0.1,3600.0,500.0,4.0,0.0,,2400.0,3600.0,0.3018518518518518,36.22222222222222,120.0,4.7,0.36079213352371714,14.0,42.23333333333333,1.3333333333333333,0.011111111111111066,0.3018518518518518,0.36079213352371714,,,1.0,6.0,0.468070320268195,0.40055490003228694
1,210323_s4r1_Results.csv,2,3904,wt_ctrl,y,wt,3601.0,0.1,27000.0,500.0,4.0,0.0,,6901.0,8101.0,0.24351851851851844,29.22222222222222,120.0,10.0,0.36893551589090545,10.0,19.700000000000003,3.0,0.025,0.3018518518518518,0.36079213352371714,0.24351851851851844,0.36893551589090545,1.0,4.0,0.5417928026814107,0.44836793429701904
2,210324_s4r1_Results.csv,1,3905,wt_ctrl,y,wt,0.0,0.1,3600.0,500.0,4.0,0.0,,2400.0,3600.0,0.5249999999999999,63.0,120.0,44.8,0.8464600718235024,28.125,30.3,1.75,0.014583333333333275,0.5249999999999999,0.8464600718235024,,,1.0,8.0,0.814097765619836,0.9397481207230847
3,210324_s4r1_Results.csv,2,3905,wt_ctrl,y,wt,3601.0,0.1,27000.0,500.0,4.0,0.0,,6901.0,8101.0,0.5125,61.5,120.0,16.55,0.8202004797406675,39.333333333333336,45.93333333333334,1.6666666666666667,0.013888888888888834,0.5249999999999999,0.8464600718235024,0.5125,0.8202004797406675,1.0,7.0,1.140236944046239,0.9967909810002991
4,210421_s3r1_Results.csv,1,4050,wt_ctrl,y,wt,0.0,0.1,3600.0,500.0,4.0,0.0,,2400.0,3600.0,0.4969696969696969,59.63636363636363,120.0,26.9,0.835702242498952,26.071428571428573,31.535714285714285,2.142857142857143,0.0178571428571428,0.4969696969696969,0.835702242498952,,,1.0,11.0,0.7706322283500902,0.9278046750399032
5,210421_s3r1_Results.csv,2,4050,wt_ctrl,y,wt,3601.0,0.1,11000.0,500.0,4.0,0.0,,6901.0,8101.0,0.3037878787878787,36.45454545454545,120.0,44.84,0.8409296821321758,24.333333333333332,28.466666666666665,1.4444444444444444,0.01203703703703699,0.4969696969696969,0.835702242498952,0.3037878787878787,0.8409296821321758,1.0,11.0,0.6758832439948881,1.0219832144817016
6,210421_s5r1_Results.csv,1,4050,wt_ctrl,y,wt,0.0,0.1,3600.0,500.0,4.0,0.0,,2400.0,3600.0,0.7925925925925924,95.11111111111111,120.0,18.85,0.9216298813672272,64.6,68.56,1.6,0.01333333333333328,0.7925925925925924,0.9216298813672272,,,1.0,9.0,1.2290435403361193,1.0232023669483656
7,210421_s5r1_Results.csv,2,4050,wt_ctrl,y,wt,3601.0,0.1,11000.0,500.0,4.0,0.0,,6901.0,8101.0,0.5805555555555555,69.66666666666667,120.0,24.96666666666667,0.8288004388175373,24.125,29.4375,2.0,0.0166666666666666,0.7925925925925924,0.9216298813672272,0.5805555555555555,0.8288004388175373,1.0,9.0,1.2916505219819185,1.007242525295306
8,210622_slice04_rec01_1_Results.csv,1,4080,wt_ctrl,y,wt,0.0,0.10000000000000002,3600.0,500.0,4.0,0.0,,2400.0,3600.0,1.4194444444444443,170.33333333333334,120.0,45.900000000000006,1.767489237654665,14.0,9.0,2.0,0.0166666666666666,1.4194444444444443,1.767489237654665,,,1.0,6.0,2.2010791440832604,1.9622835675001422
9,210622_slice04_rec01_1_Results.csv,2,4080,wt_ctrl,y,wt,3601.0,0.10000000000000002,27000.0,500.0,4.0,0.0,,6901.0,8101.0,1.4583333333333333,175.0,120.0,4.6000000000000005,1.7932157135242726,,,,,1.4194444444444443,1.767489237654665,1.4583333333333333,1.7932157135242726,1.0,6.0,3.244576670050274,2.1792979818716685
10,210914_slice01_rec01_isra_Results.csv,1,4363,wt,n,wt,0.0,0.1,6090.0,500.0,4.0,,0.0,4890.0,6090.0,0.3233333333333333,38.8,120.0,7.333333333333333,0.4185535890894975,16.357142857142858,41.057142857142864,1.4285714285714286,0.011904761904761859,0.3233333333333333,0.4185535890894975,,,1.0,22.0,0.5013808461277721,0.4646822240786956
11,210914_slice01_rec01_isra_Results.csv,2,4363,wt,n,wt,6091.0,0.1,12092.0,500.0,4.0,,0.05,9391.0,10591.0,0.22799999999999992,27.36,120.0,28.4,0.43695960644498844,19.9,45.4,1.2,0.00999999999999996,0.3233333333333333,0.4185535890894975,0.22799999999999992,0.43695960644498844,1.0,14.0,0.5072663868147169,0.5310377225133055
12,210917_slice02_rec01_isra_Results.csv,1,4368,wt,n,wt,0.0,0.1,6600.0,500.0,4.0,,0.0,5400.0,6600.0,1.101190476190476,132.14285714285714,120.0,15.890740740740743,1.3183586878206468,17.75,13.5625,3.0,0.024999999999999974,1.101190476190476,1.3183586878206468,,,1.0,14.0,1.7075746784543047,1.463654507234378
13,210917_slice02_rec01_isra_Results.csv,2,4368,wt,n,wt,6601.0,0.1,12000.0,500.0,4.0,,0.05,9901.0,11101.0,0.6339285714285714,76.07142857142857,120.0,28.605555555555554,1.1774592528420533,19.703703703703706,16.837037037037035,2.111111111111111,0.017592592592592545,1.101190476190476,1.3183586878206468,0.6339285714285714,1.1774592528420533,1.0,14.0,1.4103976137157312,1.4309681507372516
14,211011_slice01_rec01_isra_Results.csv,1,4408,wt,n,wt,0.0,0.1,6000.0,500.0,4.0,,0.0,4800.0,6000.0,0.7324074074074074,87.88888888888889,120.0,19.433333333333334,1.0885409810273106,40.0,31.37142857142857,1.4285714285714286,0.011904761904761859,0.7324074074074074,1.0885409810273106,,,1.0,26.0,1.1357166359881665,1.2085086766665314
15,211011_slice01_rec01_isra_Results.csv,2,4408,wt,n,wt,6001.0,0.1,12005.0,500.0,4.0,,0.05,9301.0,10501.0,0.43981481481481477,52.77777777777778,120.0,33.892857142857146,1.0644970348071874,19.5,23.560000000000002,1.6,0.0133333333333333,0.7324074074074074,1.0885409810273106,0.43981481481481477,1.0644970348071874,1.0,22.0,0.9785231227135747,1.2936849828871844
16,211117_slice03_rec01_isra_Results.csv,1,4538,wt,n,wt,0.0,0.1,6000.0,500.0,4.0,,0.0,4800.0,6000.0,0.824074074074074,98.88888888888889,120.0,20.57,1.1038477497238548,80.5,55.275000000000006,2.5,0.0208333333333333,0.824074074074074,1.1038477497238548,,,1.0,9.0,1.277860690302741,1.2255023986337499
17,211117_slice03_rec01_isra_Results.csv,2,4538,wt,n,wt,6001.0,0.1,12005.0,500.0,4.0,,0.05,9301.0,10501.0,0.1509259259259259,18.11111111111111,120.0,20.2,0.9825368493767014,20.0,18.55,2.0,0.0166666666666666,0.824074074074074,1.1038477497238548,0.1509259259259259,0.9825368493767014,1.0,3.0,0.33578793474171087,1.1940786358340203
18,211213_slice01_rec01_isra_Results.csv,1,4718,wt,n,wt,0.0,0.1,6000.0,500.0,4.0,,0.0,4800.0,6000.0,0.7569892473118279,90.83870967741936,120.0,33.440909090909095,1.0102417725096304,22.333333333333332,28.116666666666664,2.0,0.016666666666666618,0.7569892473118279,1.0102417725096304,,,1.0,31.0,1.173834771113906,1.1215801415732216
19,211213_slice01_rec01_isra_Results.csv,2,4718,wt,n,wt,6001.0,0.1,12005.0,500.0,4.0,,0.05,9301.0,10501.0,0.4026881720430107,48.32258064516129,120.0,16.22,1.0215169002169655,27.214285714285715,28.057142857142857,1.7142857142857142,0.01428571428571423,0.7569892473118279,1.0102417725096304,0.4026881720430107,1.0215169002169655,1.0,21.0,0.8959218159880756,1.2414511552073249
20,211214_slice04_rec01_ctrl_Results.csv,1,4719,wt_ctrl,y,wt,0.0,0.10000000000000002,4500.0,500.0,4.0,0.0,,3300.0,4500.0,0.5965277777777778,71.58333333333333,120.0,23.05,1.0519294492715556,55.583333333333336,55.09166666666667,1.3333333333333333,0.011111111111111066,0.5965277777777778,1.0519294492715556,,,1.0,12.0,0.9250132019410572,1.167862201647166
21,211214_slice04_rec01_ctrl_Results.csv,2,4719,wt_ctrl,y,wt,4501.0,0.10000000000000002,12900.0,500.0,4.0,0.0,,7801.0,9001.0,0.3319444444444444,39.833333333333336,120.0,11.15,0.7898972717076739,27.0,46.96666666666667,1.6666666666666667,0.013888888888888834,0.5965277777777778,1.0519294492715556,0.3319444444444444,0.7898972717076739,1.0,8.0,0.7385274515638242,0.9599634428449758
22,220128_slice04_rec01_isra_Results.csv,1,4653,KO,n,KO,0.0,0.1,6500.0,500.0,4.0,,0.0,5300.0,6500.0,0.8563333333333333,102.76,120.0,15.734920634920636,1.211598510558892,24.0375,19.07375,2.75,0.022916666666666634,0.8563333333333333,1.211598510558892,,,1.0,24.0,0.7074174211676553,0.8572103853294383
23,220128_slice04_rec01_isra_Results.csv,2,4653,KO,n,KO,6501.0,0.1,12600.0,500.0,4.0,,0.05,9801.0,11001.0,0.33299999999999996,39.96,120.0,20.92666666666667,1.2410270639485586,19.864583333333332,14.89375,2.0,0.016666666666666625,0.8563333333333333,1.211598510558892,0.33299999999999996,1.2410270639485586,1.0,16.0,0.38070914324909666,0.91451809820598
24,220128_slice05_rec01_ctrl_Results.csv,1,4653,KO_ctrl,y,KO,0.0,0.1,5500.0,500.0,4.0,0.0,,4300.0,5500.0,1.1312499999999999,135.75,120.0,7.165238095238095,1.3780903671231488,33.528571428571425,23.85452380952381,3.4285714285714284,0.028571428571428546,1.1312499999999999,1.3780903671231488,,,1.0,8.0,0.9345262254136746,0.9750039838489893
25,220128_slice05_rec01_ctrl_Results.csv,2,4653,KO_ctrl,y,KO,5501.0,0.1,27000.0,500.0,4.0,0.0,,8801.0,10001.0,1.0614583333333332,127.375,120.0,11.044444444444444,1.4146173706314462,26.504761904761903,18.559047619047618,3.2857142857142856,0.027380952380952343,1.1312499999999999,1.3780903671231488,1.0614583333333332,1.4146173706314462,1.0,8.0,1.2135342122460882,1.0424375302202422
