"","filtered_S1_quant_filtered","filtered_S2_quant_filtered","filtered_S3_quant_filtered","filtered_S4_quant_filtered","filtered_S5_quant_filtered","filtered_S6_quant_filtered","filtered_S7_quant_filtered","filtered_S9_quant_filtered","filtered_S10_quant_filtered","filtered_S11_quant_filtered","filtered_S12_quant_filtered"
"ENSMUSG00000000001",6504,6703,8690,5136,4778,4843,5377,7769,6263,6085,6736
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",162,158,115,152,74,66,82,194,92,181,215
"ENSMUSG00000000037",32,40,49,34,9,15,14,41,14,12,25
"ENSMUSG00000000049",3,0,0,0,1,0,0,1,1,11,1
"ENSMUSG00000000056",563,740,398,601,315,312,406,759,307,391,547
"ENSMUSG00000000058",999,1196,1120,788,552,542,540,1103,507,829,924
"ENSMUSG00000000078",1615,1809,3194,1289,1642,1526,1526,1966,1685,1464,1463
"ENSMUSG00000000085",276,313,573,259,203,201,241,322,257,187,207
"ENSMUSG00000000088",1463,1910,1613,1234,834,912,903,1674,1106,1255,1359
"ENSMUSG00000000093",435,444,685,510,308,397,449,410,463,325,359
"ENSMUSG00000000094",3,3,8,6,3,1,3,3,1,3,6
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",85,107,241,127,77,76,155,72,115,62,49
"ENSMUSG00000000125",0,0,1,0,1,0,1,0,1,0,0
"ENSMUSG00000000126",46,47,42,23,25,45,39,36,32,25,22
"ENSMUSG00000000127",583,706,729,557,366,434,375,638,407,488,494
"ENSMUSG00000000131",2078,2426,3095,1901,1547,1653,1703,2224,1969,1813,1828
"ENSMUSG00000000134",831,964,1352,742,653,593,718,825,686,673,704
"ENSMUSG00000000142",973,1207,1696,967,1127,1227,1275,1182,1491,922,936
"ENSMUSG00000000148",520,698,596,532,381,432,419,614,445,429,401
"ENSMUSG00000000149",4276,5186,5785,4268,3169,3169,3056,4364,3413,3303,3380
"ENSMUSG00000000154",62,72,48,59,30,31,43,65,31,59,73
"ENSMUSG00000000157",1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000159",1,1,0,0,0,0,0,1,0,0,0
"ENSMUSG00000000167",22,27,46,32,20,28,30,17,26,22,27
"ENSMUSG00000000168",1656,1811,2201,1447,1106,1259,1183,1632,1334,1405,1434
"ENSMUSG00000000171",2395,2987,2793,2234,1430,1675,1590,2446,1709,1973,2070
"ENSMUSG00000000182",1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000183",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000184",11989,11510,17674,8115,8173,8375,7843,15362,8921,9924,10149
"ENSMUSG00000000194",2337,2504,2965,1930,1681,1765,1651,2277,1861,1864,2105
"ENSMUSG00000000197",196,224,614,258,258,305,260,277,301,176,185
"ENSMUSG00000000202",0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000000204",4,2,1,1,1,3,3,4,0,4,2
"ENSMUSG00000000214",2334,3046,5042,2796,3327,3115,3591,4405,5135,2990,1479
"ENSMUSG00000000215",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000216",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000223",16,22,33,40,12,20,17,39,9,20,11
"ENSMUSG00000000244",39,29,49,34,27,28,25,27,33,23,27
"ENSMUSG00000000247",1,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000000248",0,1,0,0,0,0,0,2,0,0,0
"ENSMUSG00000000253",187,211,459,161,147,192,160,188,182,121,107
"ENSMUSG00000000263",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000266",900,916,1977,717,927,1030,940,1210,888,852,801
"ENSMUSG00000000275",4066,4719,6219,3137,3488,2749,3217,5006,3765,3642,3459
"ENSMUSG00000000276",600,983,1685,587,589,710,740,811,758,678,677
"ENSMUSG00000000278",3229,4746,3264,3340,2016,2142,1996,4096,2171,3041,3193
"ENSMUSG00000000282",314,362,547,317,269,223,217,363,300,351,333
"ENSMUSG00000000290",460,525,812,351,302,274,286,437,398,274,269
"ENSMUSG00000000295",490,551,437,499,263,275,206,479,284,337,404
"ENSMUSG00000000296",475,612,849,519,373,476,365,536,437,366,405
"ENSMUSG00000000301",55,67,99,48,39,28,47,58,29,57,49
"ENSMUSG00000000303",7,11,8,0,3,3,2,3,3,10,10
"ENSMUSG00000000305",84,146,185,105,105,82,88,162,128,88,70
"ENSMUSG00000000308",29,24,106,37,27,45,46,48,50,41,27
"ENSMUSG00000000317",397,469,527,357,482,356,339,373,537,255,317
"ENSMUSG00000000318",33,26,48,20,10,26,23,23,15,17,24
"ENSMUSG00000000320",61,37,110,48,68,52,67,35,38,26,39
"ENSMUSG00000000326",5419,7566,5281,4679,2986,3237,2902,4562,3518,3505,4214
"ENSMUSG00000000339",661,675,839,518,449,437,490,579,492,494,535
"ENSMUSG00000000340",2380,2674,2736,2046,1771,1780,1675,2380,1812,1946,2091
"ENSMUSG00000000346",3916,4730,5862,3622,2705,3170,2739,3891,2805,3052,3320
"ENSMUSG00000000355",478,601,635,467,318,352,310,593,375,484,455
