"","baseMean","log2FoldChange","lfcSE","pvalue","padj","GENENAME","SYMBOL","ENTREZID"
"ENSMUSG00000000001",6199.66573648703,0.290552282842979,0.0581685481728155,4.07232266343778e-08,9.58896243150816e-05,"Gnai3","Gnai3","14679"
"ENSMUSG00000000003",0,NA,NA,NA,NA,"Pbsn","Pbsn","54192"
"ENSMUSG00000000028",135.410048737769,0.0231910373135555,0.069728017409507,0.10418821082836,0.564403808328188,"Cdc45","Cdc45","12544"
"ENSMUSG00000000037",26.0620825262913,-0.00907117042391748,0.0655826777012909,0.288073928503474,0.786632802099957,"Scml2","Scml2","107815"
"ENSMUSG00000000049",1.7279768962965,0.0032749105479817,0.0652967150897396,0.190426269457228,NA,"Apoh","Apoh","11818"
"ENSMUSG00000000056",478.462426557345,0.0188275250116091,0.0665012219739497,0.288215662508463,0.786705838852557,"Narf","Narf","67608"
"ENSMUSG00000000058",799.679495943218,0.0052495393141827,0.0606945745750232,0.857196855268121,0.982180612145813,"Cav2","Cav2","12390"
"ENSMUSG00000000078",1701.80763643944,0.0107981730105618,0.0566651278792967,0.697166000349932,0.950289119453207,"Klf6","Klf6","23849"
"ENSMUSG00000000085",272.165755844359,0.0101181464276031,0.0639943303450289,0.545942685379897,0.90687683843027,"Scmh1","Scmh1","29871"
"ENSMUSG00000000088",1271.18106282501,0.0285415586026629,0.0670437334813131,0.272005599897855,0.77401677077576,"Cox5a","Cox5a","12858"
"ENSMUSG00000000093",428.825977203519,0.00728942255188108,0.0590397996738114,0.778765744560115,0.968549848031303,"Tbx2","Tbx2","21385"
"ENSMUSG00000000094",3.50700790963177,-0.000341607717979503,0.0649269396857401,0.952021491216732,NA,"Tbx4","Tbx4","21387"
"ENSMUSG00000000103",0,NA,NA,NA,NA,"Zfy2","Zfy2","22768"
"ENSMUSG00000000120",102.214096980336,-0.00240810565199476,0.063948138914947,0.849908691232423,0.981736281496085,"Ngfr","Ngfr","18053"
"ENSMUSG00000000125",0.375235734708114,0.000433405985481789,0.0651992320547431,0.853150657434729,NA,"Wnt3","Wnt3","22415"
"ENSMUSG00000000126",34.5609263142294,-0.00403677349316048,0.0636905711775178,0.783114748073149,0.968843438393156,"Wnt9a","Wnt9a","216795"
"ENSMUSG00000000127",513.981745296506,-0.00151547889914393,0.0564278286580512,0.962334185415145,0.99711073898997,"Fer","Fer","14158"
"ENSMUSG00000000131",1987.76488925692,-0.000958759700078492,0.0485932492969609,0.965498776824554,0.99711073898997,"Xpo6","Xpo6","74204"
"ENSMUSG00000000134",777.189194557649,-0.00276953641563466,0.0542047987739438,0.92972576318719,0.992081748080106,"Tfe3","Tfe3","209446"
"ENSMUSG00000000142",1179.72596032448,0.0393510514876864,0.0744805797640866,0.142714172913355,0.628544913478181,"Axin2","Axin2","12006"
"ENSMUSG00000000148",491.122131782506,0.0108606670509184,0.0583930878929005,0.694884967750189,0.949594148850236,"Brat1","Brat1","231841"
"ENSMUSG00000000149",3862.54943579019,-0.0295249832935641,0.051360491868034,0.385300100554026,0.832979314556585,"Gna12","Gna12","14673"
"ENSMUSG00000000154",52.4615354230749,0.0155171228952457,0.0664073170812465,0.257934571041652,0.763962184418545,"Slc22a18","Slc22a18","18400"
"ENSMUSG00000000157",0.0865046316814872,-0.000642287286002699,0.0652209367690231,0.931457257955444,NA,"Itgb2l","Itgb2l","16415"
"ENSMUSG00000000159",0.395699120995741,-0.0008033706653192,0.0652167982478653,0.850249034224167,NA,"Igsf5","Igsf5","72058"
"ENSMUSG00000000167",26.7762582523376,-0.00817438391848569,0.0641516120344206,0.579857548368106,0.91685029684491,"Pih1d2","Pih1d2","72614"
"ENSMUSG00000000168",1473.22995041249,-0.0068110714675098,0.051163733563123,0.914091482045811,0.990227404965804,"Dlat","Dlat","235339"
"ENSMUSG00000000171",2079.34707548468,-0.000980391255051348,0.0573556199358333,0.837595112446534,0.979905638301316,"Sdhd","Sdhd","66925"
"ENSMUSG00000000182",0.0865046316814872,-0.000642287286002699,0.0652209367690231,0.931457257955444,NA,"Fgf23","Fgf23","64654"
