,GENEID,log2FoldChange,padj,GENENAME
31434,ENSMUSG00000109916,1.01254680024841,0.0004847646060655,Gm45551
6334,ENSMUSG00000027894,1.04086086081796,0.0278670695331892,Slc6a17
26872,ENSMUSG00000096808,1.05975053927942,0.0149575847227345,
8983,ENSMUSG00000032561,1.06313708291937,7.25762632841499e-06,Acpp
16052,ENSMUSG00000057440,1.09367792175428,0.0062061843594942,Mpp7
20285,ENSMUSG00000079227,1.09905854964409,0.0038390935479415,Ccr5
12618,ENSMUSG00000042807,1.10388389353174,8.55042501380637e-10,Hecw2
7286,ENSMUSG00000029478,1.12164724235529,1.24365716711884e-08,Ncor2
5824,ENSMUSG00000026950,1.12190571542313,0.0018077798296373,Neb
24988,ENSMUSG00000091945,1.15201410463391,0.0008216702902248,Vmn2r114
4141,ENSMUSG00000023868,1.19161562925286,0.0076278779195353,Pde10a
33028,ENSMUSG00000113395,1.29198491672363,0.0013480850297699,Gm48365
3388,ENSMUSG00000021983,1.29977274078554,0.0372163937105951,Atp8a2
8565,ENSMUSG00000031872,1.37604528280842,0.0001317641423424,Bean1
9082,ENSMUSG00000032803,1.43507146782888,3.2544833065686397e-50,Cdv3
15194,ENSMUSG00000053007,1.60073547686522,3.50796503875439e-17,Creb5
3089,ENSMUSG00000021453,1.69691369658174,4.25902865938782e-07,Gadd45g
2959,ENSMUSG00000021214,1.73637397800753,0.0022596275339389,Akr1c18
9074,ENSMUSG00000032776,1.74023765531579,0.0043765819686002,Mctp2
7672,ENSMUSG00000030228,1.85589569101304,0.002093234554029,Pik3c2g
