"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GENENAME","SYMBOL"
"ENSMUSG00000000001",6486.85823142156,0.31957476605468,0.0845452417690189,3.77992610072334,0.000156874912474297,0.00473538128654558,"Gnai3","Gnai3"
"ENSMUSG00000000003",0,NA,NA,NA,NA,NA,"Pbsn","Pbsn"
"ENSMUSG00000000028",179.60698949462,0.496339784337544,0.209930078740052,2.36430999938861,0.0180636903748968,0.128083602414171,"Cdc45","Cdc45"
"ENSMUSG00000000037",33.4742906106823,-0.258077716316813,0.615464731071999,-0.41932169836491,0.674981040784383,NA,"Scml2","Scml2"
"ENSMUSG00000000049",2.99735311171865,2.37693619248517,1.84418279398947,1.28888318459106,0.197438700805716,NA,"Apoh","Apoh"
"ENSMUSG00000000056",592.794522455968,0.0569785153950844,0.173331929602863,0.328724866362667,0.742363657303672,0.909363447968697,"Narf","Narf"
"ENSMUSG00000000058",963.177904552786,-0.0155550643215926,0.0990228861474908,-0.157085547864399,0.875177427308951,0.956759087445811,"Cav2","Cav2"
"ENSMUSG00000000078",1593.06645058695,0.179036286190187,0.113580489083318,1.57629437621856,0.114957977098702,0.382228490337619,"Klf6","Klf6"
"ENSMUSG00000000085",260.304955950905,0.160694964728703,0.223979238136129,0.717454734045649,0.473093557357725,0.755153939843889,"Scmh1","Scmh1"
"ENSMUSG00000000088",1467.54401318583,0.104164325794844,0.103133107158313,1.00999890980641,0.312495812356941,0.632171997616292,"Cox5a","Cox5a"
"ENSMUSG00000000093",412.300956280362,-0.128443041209753,0.162958989160647,-0.788192427256234,0.430584157971562,0.723422469488929,"Tbx2","Tbx2"
"ENSMUSG00000000094",4.09955314830106,0.161946400723927,1.11274967613253,0.145537135797503,0.88428679773368,NA,"Tbx4","Tbx4"
"ENSMUSG00000000103",0,NA,NA,NA,NA,NA,"Zfy2","Zfy2"
"ENSMUSG00000000120",82.4038318026843,-0.602497829502803,0.295818896962095,-2.03671177091842,0.0416789342531636,0.213238712050689,"Ngfr","Ngfr"
"ENSMUSG00000000125",0,NA,NA,NA,NA,NA,"Wnt3","Wnt3"
"ENSMUSG00000000126",32.3874208807673,-0.274908583443493,0.433711702469237,-0.633850970306691,0.526178085580645,NA,"Wnt9a","Wnt9a"
"ENSMUSG00000000127",572.760102193146,-0.023295043214359,0.110497665104753,-0.210819325388234,0.83302825796089,0.942537461350126,"Fer","Fer"
"ENSMUSG00000000131",2036.0762389391,-0.0653168606663564,0.0924309806271533,-0.706655498223378,0.479780591053424,0.759298669358232,"Xpo6","Xpo6"
"ENSMUSG00000000134",785.410416660938,0.0759867192162728,0.111077575263175,0.684086945868583,0.493920264517099,0.769677643608032,"Tfe3","Tfe3"
"ENSMUSG00000000142",1029.85576835084,0.168858304405017,0.121350739140562,1.39148970662162,0.164076978857846,0.462156840248783,"Axin2","Axin2"
"ENSMUSG00000000148",524.538213468508,-0.0595102566559591,0.13791017794511,-0.431514610035854,0.666094231776661,0.874016008120939,"Brat1","Brat1"
"ENSMUSG00000000149",4084.49071253454,-0.114625394597021,0.0742996603432875,-1.54274453029013,0.122892772862458,0.398984526082007,"Gna12","Gna12"
"ENSMUSG00000000154",65.5397121916094,0.291488568979488,0.297387413385945,0.980164444959876,0.327004952042625,0.643746212765269,"Slc22a18","Slc22a18"
"ENSMUSG00000000157",0.162191931519958,-0.782954422625783,4.0804728567969,-0.191878355794379,0.847837491983774,NA,"Itgb2l","Itgb2l"
"ENSMUSG00000000159",0.74153878373724,-1.51671183730389,2.9989470458988,-0.505748122287811,0.613033481300499,NA,"Igsf5","Igsf5"
"ENSMUSG00000000167",24.6611220243641,-0.157654089325115,0.489494798259899,-0.322075106590629,0.747395796362335,NA,"Pih1d2","Pih1d2"
"ENSMUSG00000000168",1558.23056623468,-0.0290255797873332,0.0875513094970362,-0.331526506617423,0.740246822570798,0.909148953302751,"Dlat","Dlat"
"ENSMUSG00000000171",2330.00168977301,-0.0450926816896778,0.0780159396799293,-0.577993187990511,0.563268718310167,0.813120532610106,"Sdhd","Sdhd"
"ENSMUSG00000000182",0.162191931519958,-0.782954422625783,4.0804728567969,-0.191878355794379,0.847837491983774,NA,"Fgf23","Fgf23"
"ENSMUSG00000000183",0,NA,NA,NA,NA,NA,"Fgf6","Fgf6"
"ENSMUSG00000000184",11040.4837121678,0.242222220862827,0.109161030198757,2.21894407209052,0.0264905296774275,0.162553200194356,"Ccnd2","Ccnd2"
"ENSMUSG00000000194",2162.35251217563,0.00382066858719886,0.102218315667422,0.0373775341752824,0.9701839852822,0.990896041682731,"Gpr107","Gpr107"
"ENSMUSG00000000197",219.102484283267,0.0751880002377436,0.219613324158373,0.342365384823018,0.732075935112688,0.904917869889621,"Nalcn","Nalcn"
"ENSMUSG00000000202",0.174310613563256,-0.782954422625784,4.0804728567969,-0.191878355794379,0.847837491983774,NA,"Btbd17","Btbd17"
"ENSMUSG00000000204",2.83996926649266,0.617187184425401,1.31494360432776,0.46936399583534,0.63880947904448,NA,"Slfn4","Slfn4"
"ENSMUSG00000000214",2816.19779005147,0.281850719245665,0.389447663122293,0.723719117957986,0.469238193656818,0.753419683280286,"Th","Th"
"ENSMUSG00000000215",0,NA,NA,NA,NA,NA,"Ins2","Ins2"
"ENSMUSG00000000216",0,NA,NA,NA,NA,NA,"Scnn1g","Scnn1g"
"ENSMUSG00000000223",26.1256618249061,0.0382745297501967,0.6591758519727,0.0580642170608243,0.953697476931789,NA,"Drp2","Drp2"
"ENSMUSG00000000244",29.71108025866,-0.266065092498084,0.419904035181727,-0.633633092815923,0.526320298746613,NA,"Tspan32","Tspan32"
"ENSMUSG00000000247",0.348093529024779,0.164435729984351,4.0804728567969,0.0402982045844142,0.967855385152059,NA,"Lhx2","Lhx2"
"ENSMUSG00000000248",0.648634399392843,2.08624760424564,3.51951545181634,0.592765576059334,0.553338048517091,NA,"Clec2g","Clec2g"
"ENSMUSG00000000253",159.330156091219,-0.240045775919393,0.209186236787828,-1.14752184276284,0.251166010934589,0.568754107633737,"Gmpr","Gmpr"
"ENSMUSG00000000263",0,NA,NA,NA,NA,NA,"Glra1","Glra1"
"ENSMUSG00000000266",889.507559775136,0.169408280499254,0.102577888946968,1.65150874363224,0.0986347368557035,0.349935116464003,"Mid2","Mid2"
"ENSMUSG00000000275",3966.15055591301,0.139422234105549,0.105514595115657,1.32135496471104,0.186383034842743,0.492140774249317,"Trim25","Trim25"
"ENSMUSG00000000276",717.883689285371,0.217338619541725,0.153396348456245,1.4168435020063,0.156528687833088,0.450696289137385,"Dgke","Dgke"
"ENSMUSG00000000278",3567.96418956,0.0563273177169612,0.097170067347455,0.579677664681957,0.562132008122639,0.812438394776427,"Scpep1","Scpep1"
"ENSMUSG00000000282",345.316154200231,0.348190180218506,0.18851441103301,1.84702155294396,0.0647440166562446,0.274064989371576,"Mnt","Mnt"
"ENSMUSG00000000290",377.956793667465,-0.288334940851479,0.164587290421548,-1.75186638113419,0.0797967865606629,0.309888979155199,"Itgb2","Itgb2"
"ENSMUSG00000000295",455.9889251184,-0.19312965020534,0.130620908808302,-1.47855080757994,0.139260408438119,0.424675068272604,"Hddc2","Hddc2"
"ENSMUSG00000000296",479.685119116903,-0.128182061901748,0.12984403933509,-0.987200202320783,0.323544502644197,0.640465236472236,"Tpd52l1","Tpd52l1"
"ENSMUSG00000000301",56.432780246314,0.485204042595458,0.313961388853691,1.54542583840323,0.122243294455403,0.397580000507371,"Pemt","Pemt"
"ENSMUSG00000000303",7.23097450092245,-0.0385047305120942,1.15058671608717,-0.0334653007667587,0.973303536300777,NA,"Cdh1","Cdh1"
"ENSMUSG00000000305",108.606406737315,0.334422062554698,0.320634129972184,1.0430020739954,0.296947332200907,0.615546800246829,"Cdh4","Cdh4"
"ENSMUSG00000000308",36.0447291423578,0.608967154674035,0.475903122075648,1.27960319322561,0.200684726255277,NA,"Ckmt1","Ckmt1"
"ENSMUSG00000000317",356.580322863338,-0.170723225077216,0.147105473977533,-1.16054977738823,0.245825039581827,0.56264393008372,"Bcl6b","Bcl6b"
"ENSMUSG00000000318",23.8739633622313,-0.410862909558779,0.47480648470988,-0.865327081220946,0.386859290943738,NA,"Clec10a","Clec10a"
"ENSMUSG00000000320",40.8390264020072,-0.321081110155639,0.405714549413003,-0.791396588118879,0.428712600346011,0.722432485231037,"Alox12","Alox12"
"ENSMUSG00000000326",4886.71704514062,-0.308757784150557,0.104450215646031,-2.95602821153476,0.00311628585357966,0.0403145633180437,"Comt","Comt"
"ENSMUSG00000000339",575.589507635054,0.00400093538785945,0.144222826853669,0.0277413463259797,0.977868446782275,0.992799638275131,"Rtca","Rtca"
"ENSMUSG00000000340",2241.1898458197,-0.0658087782507163,0.0834031000662941,-0.789044750116091,0.430085851947101,0.723192233217477,"Dbt","Dbt"
"ENSMUSG00000000346",3720.95931322762,-0.0834232590029074,0.0711434455522267,-1.17260639199244,0.240953684942099,0.557854422515692,"Dazap2","Dazap2"
"ENSMUSG00000000355",510.948813682794,0.127075103716688,0.126667530358231,1.00321766246886,0.315755852828926,0.634816476715054,"Mcts1","Mcts1"
"ENSMUSG00000000359",152.84030280304,0.11958267356885,0.204688787737605,0.584217019850376,0.559074312115434,0.811004680124656,"Rem1","Rem1"
"ENSMUSG00000000365",33.3341434127275,-0.94822205988918,0.582716421100943,-1.6272444461024,0.103685191492468,NA,"Rnf17","Rnf17"
"ENSMUSG00000000374",2201.63343215358,0.136747124868058,0.0933118351818459,1.4654853224306,0.142788553965848,0.430607347093012,"Trappc10","Trappc10"
"ENSMUSG00000000378",447.938814675079,0.0649155586297868,0.155167356189011,0.418358346911011,0.675685135886822,0.878328324902402,"Ccm2","Ccm2"
"ENSMUSG00000000381",0,NA,NA,NA,NA,NA,"Wap","Wap"
"ENSMUSG00000000384",478.152908743678,0.104146088544341,0.150997189176218,0.689722034645293,0.490369006324784,0.767484481844178,"Tbrg4","Tbrg4"
"ENSMUSG00000000385",1.59944802042155,0.570080898540162,1.90724659953503,0.298902563873567,0.765014390802045,NA,"Tmprss2","Tmprss2"
"ENSMUSG00000000386",27.1946309754164,0.815293824671011,0.497952628254671,1.63729193985505,0.101569484257706,NA,"Mx1","Mx1"
"ENSMUSG00000000392",66.7365634484058,-0.332518601778107,0.288978444801771,-1.15066922035034,0.249868343848093,0.566696039947427,"Fap","Fap"
"ENSMUSG00000000394",0,NA,NA,NA,NA,NA,"Gcg","Gcg"
"ENSMUSG00000000399",2353.86136391906,-0.00781086272009533,0.0864549604365269,-0.0903460331328226,0.928012240544155,0.975760889414191,"Ndufa9","Ndufa9"
"ENSMUSG00000000402",376.634464935985,-0.20909301226408,0.181184448306172,-1.15403399253531,0.24848623297446,0.565306014068873,"Egfl6","Egfl6"
"ENSMUSG00000000409",49.8279463892957,0.0486286753407589,0.454291879256442,0.10704280125005,0.914755024312699,0.971132490222441,"Lck","Lck"
"ENSMUSG00000000411",0,NA,NA,NA,NA,NA,"Tssk3","Tssk3"
"ENSMUSG00000000416",1519.62430185188,0.362522085879696,0.158764714024721,2.2833920503472,0.0224072851186307,0.147797367997326,"Cttnbp2","Cttnbp2"
"ENSMUSG00000000420",2657.00419179796,0.00334185407695244,0.0805300279371104,0.0414982356589054,0.966898699384383,0.989678794241854,"Galnt1","Galnt1"
"ENSMUSG00000000435",0.698745948811614,-1.54683086022126,3.44261639534758,-0.449318391184007,0.65320199263136,NA,"Myf5","Myf5"
"ENSMUSG00000000439",1029.50443063967,-0.12657828262592,0.13601290536298,-0.930634356262868,0.352042736384457,0.666480711210786,"Mkrn2","Mkrn2"
"ENSMUSG00000000440",93.0466562188461,1.35624546234794,0.535469556946645,2.53281525486066,0.0113150571052988,0.0948885507279223,"Pparg","Pparg"
"ENSMUSG00000000441",2327.33982468815,0.0564706019278989,0.0761308234546159,0.741757403445963,0.45823433321772,0.745997375455832,"Raf1","Raf1"
"ENSMUSG00000000486",30.0821576725168,0.0623861493266917,0.517682705699978,0.120510398821102,0.904078842611608,NA,"Septin1","Septin1"
"ENSMUSG00000000489",793.840884069418,-0.141443882078229,0.138163777078919,-1.02374070156925,0.30595776535496,0.625533389642023,"Pdgfb","Pdgfb"
"ENSMUSG00000000530",515.961526187315,-0.0119055598411501,0.165003550500995,-0.0721533555187245,0.942479865272726,0.982158840414354,"Acvrl1","Acvrl1"
"ENSMUSG00000000531",346.9174026149,-0.726407795987117,0.279893430304627,-2.59530134450287,0.00945080182224516,0.0843783559876226,"Tamalin","Tamalin"
"ENSMUSG00000000532",280.847404588521,-0.140415010254915,0.157580953887853,-0.891065873067665,0.372893831894912,0.682382794567507,"Acvr1b","Acvr1b"
"ENSMUSG00000000538",2746.98462744926,-0.0504213255150629,0.0909927910781222,-0.554124397302787,0.579493714271606,0.824078493684349,"Tom1l2","Tom1l2"
"ENSMUSG00000000544",4.70050686588124,1.05158145330237,1.18466478281092,0.887661614121112,0.374722799927697,NA,"Gpa33","Gpa33"
"ENSMUSG00000000552",53.6059876804291,-0.223378477668731,0.324861952915066,-0.687610462426582,0.491698117920795,0.767986785635068,"Zfp385a","Zfp385a"
"ENSMUSG00000000555",529.963597587314,-0.0327363484236795,0.15236611644185,-0.214853204821121,0.829881769950425,0.941588422469509,"Itga5","Itga5"
"ENSMUSG00000000560",0.517502176899254,-2.3890443354318,3.73421676031172,-0.639771199364542,0.522321359180959,NA,"Gabra2","Gabra2"
"ENSMUSG00000000561",1579.18596282788,0.0410377805370937,0.0944427960171121,0.434525260451396,0.663907055482124,0.872862558270494,"Wdr77","Wdr77"
"ENSMUSG00000000562",4.20066134621727,0.904386664203416,1.10644166615244,0.817383050430799,0.413709558843881,NA,"Adora3","Adora3"
"ENSMUSG00000000563",4526.53643104185,-0.0202811960636593,0.072257743406472,-0.280678514267618,0.778956989689942,0.921834846941948,"Atp5pb","Atp5pb"
"ENSMUSG00000000567",26.8557401182758,0.0480392385973856,0.504857434649633,0.0951540678621964,0.924192452913721,NA,"Sox9","Sox9"
"ENSMUSG00000000568",465.620994072406,0.0292785558891603,0.21227825561004,0.137925365012164,0.890299403610675,0.962744442082578,"Hnrnpd","Hnrnpd"
"ENSMUSG00000000579",145.60911184218,-0.224860841496883,0.221719364458879,-1.01416870847375,0.310502257111902,0.630150090549815,"Dynlt1c","Dynlt1c"
"ENSMUSG00000000581",1164.88570780593,-0.221636490690962,0.147280777320726,-1.50485687761082,0.132360876963325,0.413855290948469,"C1d","C1d"
"ENSMUSG00000000594",8429.13480800804,-0.0814385634213511,0.0787500051580612,-1.03414042015481,0.301070522457829,0.620343260802917,"Gm2a","Gm2a"
"ENSMUSG00000000600",1315.88306630875,0.104612961904439,0.0955556944113734,1.09478521974916,0.273610743172905,0.593207174585807,"Krit1","Krit1"
"ENSMUSG00000000605",3753.43277657422,-0.000445358807786329,0.0800924291266318,-0.00556056062530186,0.995563337391154,0.998951483296007,"Clcn4","Clcn4"
"ENSMUSG00000000606",0.795095263034352,0.716729720159963,2.5601500054486,0.279956142661404,0.77951115299708,NA,"Vmn2r88","Vmn2r88"
"ENSMUSG00000000617",0,NA,NA,NA,NA,NA,"Grm6","Grm6"
"ENSMUSG00000000627",13.6264833017469,-0.0845402435332689,0.613251884384453,-0.137855660432459,0.890354493586463,NA,"Sema4f","Sema4f"
"ENSMUSG00000000628",815.098278213234,-0.435199496864415,0.366986892617541,-1.18587204507591,0.235672834443304,0.552080597759092,"Hk2","Hk2"
"ENSMUSG00000000631",2448.61664076624,-0.0406459782815273,0.104513123677073,-0.388907888803669,0.697344286259626,0.889071888696656,"Myo18a","Myo18a"
"ENSMUSG00000000632",6.1079029349115,0.451878655571239,1.04484089801632,0.432485612334999,0.665388506945843,NA,"Sez6","Sez6"
"ENSMUSG00000000673",8.77196263605312,-0.427057421012607,0.903149449162443,-0.472853547559209,0.636317667939988,NA,"Haao","Haao"
"ENSMUSG00000000682",173.141439010265,-0.0924761904599155,0.195934181252518,-0.471975792425585,0.636944067521038,0.859335627118413,"Cd52","Cd52"
"ENSMUSG00000000686",168.645902369368,0.362767053139659,0.1987865708506,1.82490724392193,0.0680150278933594,0.28048702357091,"Abhd15","Abhd15"
"ENSMUSG00000000690",577.239081167637,-0.385147204171254,0.213924561035734,-1.80038796062748,0.071799400506011,0.290914924773157,"Hoxb6","Hoxb6"
"ENSMUSG00000000693",163.754676111873,-0.425675372954063,0.20624402554469,-2.06394038241765,0.0390233693114562,0.20477577654414,"Loxl3","Loxl3"
"ENSMUSG00000000701",0,NA,NA,NA,NA,NA,"Tcl1b5","Tcl1b5"
"ENSMUSG00000000706",1.09468718343818,-1.14025122902762,2.30448728722255,-0.494796059561644,0.620744086140119,NA,"Btn1a1","Btn1a1"
"ENSMUSG00000000708",3078.15639542581,0.00232637172618548,0.106104454930382,0.0219252973658069,0.98250754524362,0.993588196326795,"Kat2b","Kat2b"
"ENSMUSG00000000711",3711.74821190557,-0.105731217508722,0.068418438214911,-1.54536145909392,0.122258857204499,0.397580000507371,"Rab5b","Rab5b"
"ENSMUSG00000000724",0,NA,NA,NA,NA,NA,"Cryba1","Cryba1"
"ENSMUSG00000000730",305.038748803485,-0.294494078633515,0.145564990127124,-2.02311062829275,0.0430617430167954,0.216383978583802,"Dnmt3l","Dnmt3l"
"ENSMUSG00000000731",0.135968348545325,-0.782954422625784,4.0804728567969,-0.19187835579438,0.847837491983774,NA,"Aire","Aire"
"ENSMUSG00000000732",630.242441482878,-0.204927391160669,0.130265128620877,-1.57315617257085,0.115682660765616,0.383699177706807,"Icosl","Icosl"
"ENSMUSG00000000738",1933.12011366893,-0.102235566361417,0.103974573052587,-0.983274692647302,0.325472262072392,0.642198356513243,"Spg7","Spg7"
"ENSMUSG00000000739",85.8737379654186,-0.211281342765058,0.27543773500121,-0.767074790112291,0.443037049691035,0.733330754507296,"Sult5a1","Sult5a1"
"ENSMUSG00000000740",9278.87696570897,0.00834843284874369,0.0765353322972661,0.109079461709503,0.913139464856408,0.970551244993942,"Rpl13","Rpl13"
"ENSMUSG00000000743",2070.99395200654,-0.172649479382072,0.0769098999588602,-2.24482777216488,0.0247791911562941,0.156701092326972,"Chmp1a","Chmp1a"
"ENSMUSG00000000751",1567.03593713855,-0.0412855307945974,0.102252644445867,-0.403760030054325,0.686389191278227,0.882529789173007,"Rpa1","Rpa1"
"ENSMUSG00000000753",308.869162797263,-0.452789994689045,0.264118110959259,-1.71434663471029,0.0864650831377432,0.324608920349514,"Serpinf1","Serpinf1"
"ENSMUSG00000000759",833.30613642573,0.0865444782590144,0.125533230739817,0.68941488838432,0.490562216844076,0.767536441459854,"Tubgcp3","Tubgcp3"
"ENSMUSG00000000766",1.18283003150334,1.23055270508707,2.59600619138177,0.474017631072014,0.635487334506639,NA,"Oprm1","Oprm1"
"ENSMUSG00000000776",341.270074923136,0.088508407779508,0.152318240072528,0.581075567426225,0.561189524598886,0.811631393208383,"Polr3d","Polr3d"
"ENSMUSG00000000782",590.700033763764,0.0724680869691455,0.123216980132224,0.588133931633286,0.556442399225459,0.8088255832814,"Tcf7","Tcf7"
"ENSMUSG00000000787",20070.1374998222,0.145261908838804,0.103613945159333,1.40195326618851,0.160929202664535,0.45765507796612,"Ddx3x","Ddx3x"
"ENSMUSG00000000791",8.13545520050682,-0.387786504137304,0.845047655084188,-0.458893059822372,0.646310962824662,NA,"Il12rb1","Il12rb1"
"ENSMUSG00000000792",1.20892429987176,-3.63199811858055,2.38600694552214,-1.52220768904163,0.127957049126979,NA,"Slc5a5","Slc5a5"
"ENSMUSG00000000794",70.3516663542974,0.339620466928077,0.341076802221118,0.995730183690133,0.319381260390071,0.638057929282275,"Kcnn3","Kcnn3"
"ENSMUSG00000000804",2105.55106902155,0.394454653594034,0.124004547643017,3.18096925549527,0.00146783206043581,0.0240739648928917,"Usp32","Usp32"
"ENSMUSG00000000805",3.56778781087448,1.952028992391,1.69587457120335,1.15104561713304,0.249713469193413,NA,"Car4","Car4"
"ENSMUSG00000000811",389.876651082147,-0.0858127007036178,0.139133595252158,-0.616764775955768,0.537389888561557,0.798351139201968,"Txnrd3","Txnrd3"
"ENSMUSG00000000817",5.36733891974714,-0.0386577385060735,1.04322456014538,-0.0370560088239162,0.970440347791039,NA,"Fasl","Fasl"
"ENSMUSG00000000823",1173.05820299162,0.146914797201903,0.107530030836735,1.36626760039682,0.17185498641276,0.471801108215888,"Zfp512b","Zfp512b"
"ENSMUSG00000000826",2957.75536715101,0.0231339615692294,0.076649750854307,0.301813917349863,0.762793920824934,0.915959587821416,"Dnajc5","Dnajc5"
"ENSMUSG00000000827",2425.62521496536,0.00424598197837472,0.0774538920774313,0.0548194785890163,0.95628228206561,0.986026529924379,"Tpd52l2","Tpd52l2"
"ENSMUSG00000000838",1397.19119929709,0.146083690296342,0.0954555629751493,1.5303842515116,0.125921644805337,0.403113676121349,"Fmr1","Fmr1"
"ENSMUSG00000000861",53.652459839116,0.576823050912359,0.380423360949183,1.51626611329321,0.129452076574497,0.409275168780916,"Bcl11a","Bcl11a"
"ENSMUSG00000000869",0.152551018004452,1.1405989290167,4.0804728567969,0.279526164992568,0.779841061172053,NA,"Il4","Il4"
