"","filtered_S1_quant_filtered","filtered_S2_quant_filtered","filtered_S4_quant_filtered","filtered_S9_quant_filtered","filtered_S11_quant_filtered","filtered_S12_quant_filtered"
"ENSMUSG00000000001",6306.11109570256,5526.77480137675,5480.69949002076,6986.23078463219,7187.28749002106,7434.04572677606
"ENSMUSG00000000003",0,0,0,0,0,0
"ENSMUSG00000000028",159.30523501111,138.436746406811,148.558981476967,165.844405117941,222.043306535312,243.453262419582
"ENSMUSG00000000037",33.5989750409245,40.0408542593528,34.0995800697378,63.7569483911132,8.98865521119439,20.3607306917709
"ENSMUSG00000000049",2.90709508534079,0,0,0.911894175944212,13.0468778577602,1.1182515512667
"ENSMUSG00000000056",536.655999726816,591.46870610693,615.437982227826,677.716509635929,443.979281512346,691.508655525959
"ENSMUSG00000000058",925.861051765104,1022.14307021728,955.740140627505,927.574381803692,990.531412059356,957.217370843785
"ENSMUSG00000000078",1585.67009497337,1447.13853084453,1447.23105173657,1547.65289537583,1941.8843220954,1588.82180849601
"ENSMUSG00000000085",222.172221440417,261.105945904199,254.038401963612,358.160200108564,194.006137620232,272.346828668404
"ENSMUSG00000000088",1433.4193383305,1545.46051199843,1263.82234658151,1553.98111161481,1495.50649229029,1513.07427829946
"ENSMUSG00000000093",437.608333380193,349.200810910661,506.212215576437,397.761200976468,379.6170954653,403.406081373112
"ENSMUSG00000000094",2.9167687742632,2.44435202337174,6.2807086140199,2.76917209577408,3.5361485941548,6.65016878822266
"ENSMUSG00000000103",0,0,0,0,0,0
"ENSMUSG00000000120",83.7366295557597,85.4071254180048,129.217905758607,68.3189150757167,72.6887429431627,55.0536720648547
"ENSMUSG00000000125",0,0,0,0,0,0
"ENSMUSG00000000126",45.1371618067865,37.7270857003594,23.5510413493255,33.8347948146465,29.3669330319576,24.7075085815283
"ENSMUSG00000000127",561.341814410573,585.145564453975,585.774861690279,575.957749633478,574.197949426084,554.142673544488
"ENSMUSG00000000131",2142.08194310037,2182.82833496394,1921.68198120516,2098.52895357453,1963.01648388811,1908.31973690248
"ENSMUSG00000000134",770.57677479178,764.043211765665,757.563701158041,744.326600193443,886.45821615485,789.493995901851
"ENSMUSG00000000142",831.202692209809,1038.69262038261,1040.19166620087,1149.19500395235,1091.3382355075,1028.51439185187
"ENSMUSG00000000148",507.417341727721,563.197188958219,536.082800363418,585.984177976002,501.694103481761,452.853668303924
"ENSMUSG00000000149",4197.26344398438,4174.82022391154,4369.58480533366,4096.83042917336,3872.01650004686,3796.42887275744
"ENSMUSG00000000154",62.586799150492,56.0900441302943,57.9040742096894,60.6415935116799,67.8272167845021,88.1885453629986
"ENSMUSG00000000157",0.97315158911975,0,0,0,0,0
"ENSMUSG00000000159",3.54204158053873,0.429226456737225,0,0.477964665147482,0,0
"ENSMUSG00000000167",23.1190326173562,18.6822691130664,36.6587456242162,19.047379457579,25.5331972777188,24.9261080562481
"ENSMUSG00000000168",1650.6217557072,1508.25713552612,1562.82074941242,1491.22035121036,1571.10577660936,1565.35762894258
"ENSMUSG00000000171",2312.38080220191,2448.05738964215,2337.33081489852,2231.77885646293,2334.40555312905,2316.05672230349
"ENSMUSG00000000182",0.97315158911975,0,0,0,0,0
"ENSMUSG00000000183",0,0,0,0,0,0
"ENSMUSG00000000184",11339.9654312482,9591.25510755911,9417.31924145005,13533.5437192257,11283.3692335667,11077.449539957
"ENSMUSG00000000194",2261.61904754965,2129.71409226324,2085.19144660838,1964.15328871507,2115.1603062634,2418.27689165403
"ENSMUSG00000000197",188.299571609276,177.033059185481,276.216288022382,259.526632943873,208.195815767158,205.34353817143
"ENSMUSG00000000202",0,0,1.04586368137954,0,0,0
"ENSMUSG00000000204",3.93138294700594,1.68640915994216,1.09383978406445,3.66524191500637,4.54292101141004,2.12002078152702
"ENSMUSG00000000214",2264.82404705374,2473.52693319337,2887.88270034605,4093.1847972952,3513.51535522468,1664.25290719579
"ENSMUSG00000000215",0,0,0,0,0,0
"ENSMUSG00000000216",0,0,0,0,0,0
"ENSMUSG00000000223",12.9308669113375,17.668652287338,47.0520705394422,43.8005002732844,25.0663662640952,10.2355146739394
"ENSMUSG00000000244",35.163421099382,32.8694483276376,29.0101401425052,21.7547760162936,29.2656253419322,30.2030706242096
"ENSMUSG00000000247",0.987821789724619,0,0,0,0,1.10073938442406
"ENSMUSG00000000248",0,0.431602257936021,0,3.46020413842104,0,0
"ENSMUSG00000000253",181.110257776161,172.540733792018,164.691480261662,174.388476893815,141.443676062468,121.806311761189
"ENSMUSG00000000263",0,0,0,0,0,0
"ENSMUSG00000000266",815.353417675331,823.736545384205,874.423915512335,985.702545841278,883.715536632646,954.113397605018
"ENSMUSG00000000275",4166.00160996407,3826.99739080183,3331.50744008991,4477.17835457724,4134.59405782995,3860.62448221503
"ENSMUSG00000000276",562.725593792276,819.646408340065,607.946771330211,735.474455551944,810.00877838791,771.500128309817
"ENSMUSG00000000278",3130.28009241291,3882.02096238274,3481.87276964429,3744.23477427737,3592.94201555305,3576.43452308965
"ENSMUSG00000000282",324.812884142741,251.82764165585,334.687281173118,306.243595383228,416.431416976817,437.894105869631
"ENSMUSG00000000290",458.76383773781,425.678043468229,363.230457151633,397.410583482772,319.811336378348,302.846503785998
"ENSMUSG00000000295",474.443733176352,454.942117847772,531.155885373441,436.374124194771,400.325485221898,438.692204896164
"ENSMUSG00000000296",460.952864448742,498.294348356807,544.704342144979,486.781700221418,437.627131438803,449.75032809067
"ENSMUSG00000000301",43.4992272256295,56.0247187657616,41.4790053335897,60.9318265921743,72.4630257140101,64.1988778467189
"ENSMUSG00000000303",5.30636342119391,17.0821220508087,0,3.01656848492763,9.21568439270814,8.76510865589632
"ENSMUSG00000000305",74.134387304639,114.411283332388,98.9429874719601,146.355371190803,146.261822197761,71.5325889263418
"ENSMUSG00000000308",33.1795665526683,17.2599771758162,34.9448970245801,39.4915716889213,64.5834208076384,26.8089416045224
"ENSMUSG00000000317",421.194867341191,372.174781430157,340.540817347289,348.422946022469,314.189518978425,342.959006060497
"ENSMUSG00000000318",29.6092114256784,32.8270165645341,19.4819194198028,19.8616821577273,19.442968599975,22.0209820056704
"ENSMUSG00000000320",58.1323144383082,30.1189849205657,47.9916930191387,33.6049376112456,30.4073285593109,44.7788998634742
"ENSMUSG00000000326",5277.58311901266,6087.68619553231,4855.93088733218,4243.0691090788,4144.6624591794,4711.37050070834
"ENSMUSG00000000339",675.526254500021,530.002974050254,518.819931780019,527.05075491343,595.061721947728,607.07540861887
