"","filtered_S1_quant_filtered","filtered_S2_quant_filtered","filtered_S4_quant_filtered","filtered_S9_quant_filtered","filtered_S11_quant_filtered","filtered_S12_quant_filtered"
"ENSMUSG00000000001",6504,6703,5136,7769,6085,6736
"ENSMUSG00000000003",0,0,0,0,0,0
"ENSMUSG00000000028",162,158,152,194,181,215
"ENSMUSG00000000037",32,40,34,41,12,25
"ENSMUSG00000000049",3,0,0,1,11,1
"ENSMUSG00000000056",563,740,601,759,391,547
"ENSMUSG00000000058",999,1196,788,1103,829,924
"ENSMUSG00000000078",1615,1809,1289,1966,1464,1463
"ENSMUSG00000000085",276,313,259,322,187,207
"ENSMUSG00000000088",1463,1910,1234,1674,1255,1359
"ENSMUSG00000000093",435,444,510,410,325,359
"ENSMUSG00000000094",3,3,6,3,3,6
"ENSMUSG00000000103",0,0,0,0,0,0
"ENSMUSG00000000120",85,107,127,72,62,49
"ENSMUSG00000000125",0,0,0,0,0,0
"ENSMUSG00000000126",46,47,23,36,25,22
"ENSMUSG00000000127",583,706,557,638,488,494
"ENSMUSG00000000131",2078,2426,1901,2224,1813,1828
"ENSMUSG00000000134",831,964,742,825,673,704
"ENSMUSG00000000142",973,1207,967,1182,922,936
"ENSMUSG00000000148",520,698,532,614,429,401
"ENSMUSG00000000149",4276,5186,4268,4364,3303,3380
"ENSMUSG00000000154",62,72,59,65,59,73
"ENSMUSG00000000157",1,0,0,0,0,0
"ENSMUSG00000000159",1,1,0,1,0,0
"ENSMUSG00000000167",22,27,32,17,22,27
"ENSMUSG00000000168",1656,1811,1447,1632,1405,1434
"ENSMUSG00000000171",2395,2987,2234,2446,1973,2070
"ENSMUSG00000000182",1,0,0,0,0,0
"ENSMUSG00000000183",0,0,0,0,0,0
"ENSMUSG00000000184",11989,11510,8115,15362,9924,10149
"ENSMUSG00000000194",2337,2504,1930,2277,1864,2105
"ENSMUSG00000000197",196,224,258,277,176,185
"ENSMUSG00000000202",0,0,1,0,0,0
"ENSMUSG00000000204",4,2,1,4,4,2
"ENSMUSG00000000214",2334,3046,2796,4405,2990,1479
"ENSMUSG00000000215",0,0,0,0,0,0
"ENSMUSG00000000216",0,0,0,0,0,0
"ENSMUSG00000000223",16,22,40,39,20,11
"ENSMUSG00000000244",39,29,34,27,23,27
"ENSMUSG00000000247",1,0,0,0,0,1
"ENSMUSG00000000248",0,1,0,2,0,0
"ENSMUSG00000000253",187,211,161,188,121,107
"ENSMUSG00000000263",0,0,0,0,0,0
"ENSMUSG00000000266",900,916,717,1210,852,801
"ENSMUSG00000000275",4066,4719,3137,5006,3642,3459
"ENSMUSG00000000276",600,983,587,811,678,677
"ENSMUSG00000000278",3229,4746,3340,4096,3041,3193
"ENSMUSG00000000282",314,362,317,363,351,333
"ENSMUSG00000000290",460,525,351,437,274,269
"ENSMUSG00000000295",490,551,499,479,337,404
"ENSMUSG00000000296",475,612,519,536,366,405
"ENSMUSG00000000301",55,67,48,58,57,49
"ENSMUSG00000000303",7,11,0,3,10,10
"ENSMUSG00000000305",84,146,105,162,88,70
"ENSMUSG00000000308",29,24,37,48,41,27
"ENSMUSG00000000317",397,469,357,373,255,317
"ENSMUSG00000000318",33,26,20,23,17,24
"ENSMUSG00000000320",61,37,48,35,26,39
"ENSMUSG00000000326",5419,7566,4679,4562,3505,4214
"ENSMUSG00000000339",661,675,518,579,494,535
"ENSMUSG00000000340",2380,2674,2046,2380,1946,2091
"ENSMUSG00000000346",3916,4730,3622,3891,3052,3320
"ENSMUSG00000000355",478,601,467,593,484,455
"ENSMUSG00000000359",165,203,130,152,129,145
"ENSMUSG00000000365",58,48,41,12,13,28
"ENSMUSG00000000374",2259,2518,1945,2386,1995,2131
"ENSMUSG00000000378",404,601,410,466,384,439
"ENSMUSG00000000381",0,0,0,0,0,0
"ENSMUSG00000000384",509,607,422,424,473,442
"ENSMUSG00000000385",1,0,1,2,2,2
"ENSMUSG00000000386",35,23,14,44,18,28
"ENSMUSG00000000392",75,75,72,65,55,57
"ENSMUSG00000000394",0,0,0,0,0,0
"ENSMUSG00000000399",2392,2864,2308,2407,1987,2238
"ENSMUSG00000000402",484,519,301,425,256,323
"ENSMUSG00000000409",46,58,46,66,28,45
"ENSMUSG00000000411",0,0,0,0,0,0
"ENSMUSG00000000416",1794,1431,1231,2000,1404,1241
"ENSMUSG00000000420",2772,3263,2483,2915,2111,2538
"ENSMUSG00000000435",0,0,3,1,0,0
"ENSMUSG00000000439",1086,1265,991,1232,806,848
"ENSMUSG00000000440",62,70,40,59,205,60
"ENSMUSG00000000441",2337,2879,2226,2632,1905,2112
"ENSMUSG00000000486",20,33,32,35,18,37
"ENSMUSG00000000489",740,1163,836,888,621,608
"ENSMUSG00000000530",478,714,486,487,494,451
"ENSMUSG00000000531",247,801,413,302,236,195
"ENSMUSG00000000532",300,355,292,325,204,233
"ENSMUSG00000000538",3045,3257,2758,3108,2214,2263
"ENSMUSG00000000544",3,4,5,6,1,4
"ENSMUSG00000000552",61,65,63,53,48,35
"ENSMUSG00000000555",524,742,504,672,417,390
"ENSMUSG00000000560",1,0,2,0,0,0
"ENSMUSG00000000561",1659,1718,1526,1656,1440,1485
"ENSMUSG00000000562",2,2,6,7,2,8
"ENSMUSG00000000563",4586,5833,4270,5083,3722,3973
"ENSMUSG00000000567",39,18,25,35,18,26
"ENSMUSG00000000568",514,485,418,609,382,375
"ENSMUSG00000000579",176,172,145,171,103,116
"ENSMUSG00000000581",1321,1365,974,1226,897,1214
"ENSMUSG00000000594",9305,10881,7776,9196,7020,7004
"ENSMUSG00000000600",1419,1479,1104,1552,1107,1292
"ENSMUSG00000000605",3667,4796,3493,4012,3376,3347
"ENSMUSG00000000606",1,1,0,2,1,0
"ENSMUSG00000000617",0,0,0,0,0,0
"ENSMUSG00000000627",14,17,12,16,14,9
"ENSMUSG00000000628",569,1583,932,649,755,542
"ENSMUSG00000000631",2290,3089,2446,2624,2264,2064
"ENSMUSG00000000632",2,4,5,6,6,10
"ENSMUSG00000000673",10,8,18,3,4,9
"ENSMUSG00000000682",174,231,171,208,119,154
"ENSMUSG00000000686",173,181,126,216,154,163
"ENSMUSG00000000690",464,1055,631,587,370,461
"ENSMUSG00000000693",166,239,215,137,123,122
"ENSMUSG00000000701",0,0,0,0,0,0
"ENSMUSG00000000706",0,3,2,1,0,1
"ENSMUSG00000000708",2887,3994,3060,3681,2427,2652
"ENSMUSG00000000711",3950,4669,3738,3935,3034,3164
"ENSMUSG00000000724",0,0,0,0,0,0
"ENSMUSG00000000730",372,406,305,336,230,218
"ENSMUSG00000000731",0,1,0,0,0,0
"ENSMUSG00000000732",718,744,694,651,456,551
"ENSMUSG00000000738",2064,2584,1816,1955,1579,1716
"ENSMUSG00000000739",104,100,89,78,62,83
"ENSMUSG00000000740",9078,11953,9188,9047,8099,8698
"ENSMUSG00000000743",2194,2777,2119,2149,1658,1696
"ENSMUSG00000000751",1628,1757,1665,1736,1275,1389
"ENSMUSG00000000753",240,409,536,272,249,186
"ENSMUSG00000000759",873,1045,747,873,695,792
"ENSMUSG00000000766",1,0,1,0,0,5
"ENSMUSG00000000776",332,405,335,354,315,308
"ENSMUSG00000000782",643,640,562,691,505,520
"ENSMUSG00000000787",18442,26233,16326,21552,18923,19744
"ENSMUSG00000000791",10,15,5,12,3,6
"ENSMUSG00000000792",3,4,1,0,0,0
"ENSMUSG00000000794",61,82,52,96,81,49
"ENSMUSG00000000804",2146,2017,1518,2910,2017,2075
"ENSMUSG00000000805",2,2,0,0,14,3
"ENSMUSG00000000811",388,474,427,383,320,360
"ENSMUSG00000000817",4,12,4,6,3,3
"ENSMUSG00000000823",1297,1382,1115,1440,928,957
"ENSMUSG00000000826",3038,3473,2881,3249,2498,2708
"ENSMUSG00000000827",2493,2892,2407,2622,2075,2154
"ENSMUSG00000000838",1395,1683,1043,1675,1251,1430
"ENSMUSG00000000861",61,38,28,77,58,60
"ENSMUSG00000000869",0,0,0,1,0,0
"ENSMUSG00000000876",715,889,663,727,568,545
"ENSMUSG00000000881",1701,1844,1465,1667,1154,1269
"ENSMUSG00000000884",65,80,65,65,55,44
"ENSMUSG00000000889",2138,2458,2287,3099,2299,1297
"ENSMUSG00000000901",191,245,245,161,136,119
"ENSMUSG00000000902",1090,1385,1126,1195,952,908
"ENSMUSG00000000903",1,0,0,2,0,0
"ENSMUSG00000000915",356,431,376,495,373,370
"ENSMUSG00000000916",264,237,213,205,177,241
"ENSMUSG00000000934",590,971,660,571,408,468
"ENSMUSG00000000938",0,1,1,1,0,0
"ENSMUSG00000000942",6,6,14,7,7,7
"ENSMUSG00000000948",45,49,38,62,40,46
"ENSMUSG00000000957",1183,1599,1384,1358,882,879
"ENSMUSG00000000958",48,63,58,46,45,55
"ENSMUSG00000000959",1578,2070,1555,1519,1085,1281
"ENSMUSG00000000976",568,598,499,592,449,489
"ENSMUSG00000000982",13,1,7,7,5,8
"ENSMUSG00000000983",0,3,0,1,0,0
"ENSMUSG00000001014",16,12,20,7,13,19
"ENSMUSG00000001016",1600,1803,1514,1581,1274,1403
"ENSMUSG00000001017",2174,2800,2137,2326,1979,1933
"ENSMUSG00000001018",1467,1807,1456,1421,1036,1045
"ENSMUSG00000001020",54,55,30,53,49,43
"ENSMUSG00000001021",0,0,0,0,0,0
"ENSMUSG00000001023",0,0,0,0,0,0
"ENSMUSG00000001025",365,487,379,320,276,290
"ENSMUSG00000001027",4,3,1,2,8,7
"ENSMUSG00000001029",276,381,278,286,245,293
"ENSMUSG00000001034",324,461,392,358,337,331
"ENSMUSG00000001036",746,838,678,798,657,595
"ENSMUSG00000001039",126,151,171,113,126,103
"ENSMUSG00000001052",834,770,656,940,670,674
"ENSMUSG00000001053",155,200,185,201,163,170
"ENSMUSG00000001054",865,1024,732,897,714,677
"ENSMUSG00000001056",622,780,678,668,561,667
"ENSMUSG00000001062",442,542,450,403,323,378
"ENSMUSG00000001065",516,695,557,542,422,512
"ENSMUSG00000001076",0,0,0,0,0,0
"ENSMUSG00000001082",323,483,387,307,233,308
"ENSMUSG00000001089",1530,1706,1340,1746,1443,1565
"ENSMUSG00000001095",0,0,0,0,0,0
"ENSMUSG00000001098",1979,2663,1868,1986,1656,1615
"ENSMUSG00000001100",2956,3591,2834,2816,2357,2422
"ENSMUSG00000001103",0,0,0,0,0,0
"ENSMUSG00000001105",795,960,763,920,660,783
"ENSMUSG00000001119",7543,10892,7868,8200,6541,6445
"ENSMUSG00000001120",343,448,341,359,239,249
"ENSMUSG00000001123",518,536,525,504,364,410
"ENSMUSG00000001127",2302,2737,2116,2018,1588,1735
"ENSMUSG00000001128",89,105,63,72,50,62
"ENSMUSG00000001131",292,322,254,278,208,227
"ENSMUSG00000001134",303,318,223,336,211,240
"ENSMUSG00000001138",715,905,705,731,576,584
"ENSMUSG00000001143",565,674,384,706,475,487
"ENSMUSG00000001150",829,1000,817,1053,795,745
"ENSMUSG00000001151",844,1095,852,1016,764,804
"ENSMUSG00000001155",0,0,0,1,1,0
"ENSMUSG00000001156",230,325,210,313,210,207
"ENSMUSG00000001157",765,787,638,644,447,517
"ENSMUSG00000001158",580,703,586,577,443,439
"ENSMUSG00000001166",47,48,49,41,28,22
"ENSMUSG00000001168",0,0,0,0,0,0
"ENSMUSG00000001173",1750,2025,1565,2035,1405,1403
"ENSMUSG00000001175",8507,10732,7106,9503,7105,7332
"ENSMUSG00000001211",4092,6884,4163,5333,3968,4042
"ENSMUSG00000001225",0,3,1,3,1,0
"ENSMUSG00000001227",186,247,191,185,179,150
"ENSMUSG00000001228",150,167,160,169,119,83
"ENSMUSG00000001229",809,918,640,731,680,599
"ENSMUSG00000001240",349,409,346,355,325,320
"ENSMUSG00000001247",107,139,115,80,61,63
"ENSMUSG00000001248",815,997,822,772,618,763
"ENSMUSG00000001249",2,1,6,6,3,1
"ENSMUSG00000001260",0,0,1,1,0,0
"ENSMUSG00000001270",1058,1301,992,704,589,614
"ENSMUSG00000001280",2400,2652,1961,2991,2253,2287
"ENSMUSG00000001281",101,123,82,120,70,59
"ENSMUSG00000001285",675,879,745,674,539,609
"ENSMUSG00000001288",390,492,345,391,275,321
"ENSMUSG00000001289",2150,2483,2015,2100,1705,1861
"ENSMUSG00000001300",453,553,331,412,399,501
"ENSMUSG00000001305",440,447,399,413,421,468
"ENSMUSG00000001313",94,108,120,61,58,76
"ENSMUSG00000001323",729,827,599,675,549,585
"ENSMUSG00000001333",10,13,13,8,4,3
"ENSMUSG00000001334",227,240,202,228,155,171
"ENSMUSG00000001348",339,437,203,321,321,232
"ENSMUSG00000001349",10,9,13,5,6,2
"ENSMUSG00000001366",1592,1664,1407,1517,1343,1375
"ENSMUSG00000001376",1055,1205,939,1144,895,981
"ENSMUSG00000001380",1653,1819,1483,1803,1513,1543
"ENSMUSG00000001383",1476,1730,1414,1325,1163,1286
"ENSMUSG00000001403",77,95,74,52,48,47
"ENSMUSG00000001415",1437,1644,1332,1465,1281,1405
"ENSMUSG00000001416",4676,5563,4119,4988,4652,4444
"ENSMUSG00000001418",1498,1950,1399,1447,1145,1283
"ENSMUSG00000001419",1166,1468,1107,1250,979,901
