"","baseMean","log2FoldChange","lfcSE","pvalue","padj","GENENAME","SYMBOL","ENTREZID"
"ENSMUSG00000000001",6486.85823142156,0.283231388722496,0.0870654706138094,0.000156874912474682,0.0047353812865572,"Gnai3","Gnai3","14679"
"ENSMUSG00000000003",0,NA,NA,NA,NA,"Pbsn","Pbsn","54192"
"ENSMUSG00000000028",179.60698949462,0.265318262682687,0.259027524799827,0.0180636903748968,0.128083602414171,"Cdc45","Cdc45","12544"
"ENSMUSG00000000037",33.4742906106823,-0.00992791629196242,0.122517899855547,0.674981040784382,NA,"Scml2","Scml2","107815"
"ENSMUSG00000000049",2.99735311171865,0.00997824358637569,0.124762097549499,0.197438700805716,NA,"Apoh","Apoh","11818"
"ENSMUSG00000000056",592.794522455968,0.0196287416764793,0.102294545488192,0.742363657303672,0.909363447968697,"Narf","Narf","67608"
"ENSMUSG00000000058",963.177904552786,-0.00948179692343452,0.0776011068956591,0.875177427308951,0.956759087445842,"Cav2","Cav2","12390"
"ENSMUSG00000000078",1593.06645058695,0.112212566556603,0.101636391928156,0.114957977098693,0.38222849033759,"Klf6","Klf6","23849"
"ENSMUSG00000000085",260.304955950905,0.0394166907170339,0.115035910688556,0.473093557357725,0.755153939843889,"Scmh1","Scmh1","29871"
"ENSMUSG00000000088",1467.54401318583,0.0648190087194203,0.0853285999376914,0.312495812356911,0.63217199761623,"Cox5a","Cox5a","12858"
"ENSMUSG00000000093",412.300956280362,-0.0496106105399534,0.10619386392603,0.430584157971562,0.723422469488929,"Tbx2","Tbx2","21385"
"ENSMUSG00000000094",4.09955314830106,0.00203273835370489,0.12363659139307,0.88428679773368,NA,"Tbx4","Tbx4","21387"
"ENSMUSG00000000103",0,NA,NA,NA,NA,"Zfy2","Zfy2","22768"
"ENSMUSG00000000120",82.4038318026843,-0.128284446808838,0.203283783897841,0.0416789342531633,0.213238712050688,"Ngfr","Ngfr","18053"
"ENSMUSG00000000125",0,NA,NA,NA,NA,"Wnt3","Wnt3","22415"
"ENSMUSG00000000126",32.3874208807673,-0.0211185968876819,0.121962328056892,0.526178085580647,NA,"Wnt9a","Wnt9a","216795"
"ENSMUSG00000000127",572.760102193146,-0.0129878455860823,0.082900402810371,0.83302825796089,0.942537461350126,"Fer","Fer","14158"
"ENSMUSG00000000131",2036.0762389391,-0.042862880299691,0.0764179030645517,0.479780591053402,0.759298669358232,"Xpo6","Xpo6","74204"
