"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GENENAME","SYMBOL"
"ENSMUSG00000000001",5868.58936323666,0.289843119759341,0.0959885740592424,3.01955855267164,0.00253143356359089,0.283673055119986,"Gnai3","Gnai3"
"ENSMUSG00000000003",0,NA,NA,NA,NA,NA,"Pbsn","Pbsn"
"ENSMUSG00000000028",84.5656534483809,0.173776927504343,0.299256616103523,0.580695356938164,0.561445791555034,0.999903209653165,"Cdc45","Cdc45"
"ENSMUSG00000000037",18.4027186761845,-1.22678215898128,0.659553995275751,-1.86001778136205,0.0628830102820109,0.999903209653165,"Scml2","Scml2"
"ENSMUSG00000000049",0.480106060147398,0.169148358826164,4.40500301846,0.0383991470873721,0.969369441007681,0.999903209653165,"Apoh","Apoh"
"ENSMUSG00000000056",352.926990225504,0.445054104612067,0.232167518382367,1.9169524992686,0.0552439665220513,0.999903209653165,"Narf","Narf"
"ENSMUSG00000000058",620.470478977051,-0.0287101143150479,0.13446816672499,-0.213508631925985,0.830930257036932,0.999903209653165,"Cav2","Cav2"
"ENSMUSG00000000078",1832.81448005259,-0.067639626509454,0.10941288225064,-0.618205325717562,0.53643999988174,0.999903209653165,"Klf6","Klf6"
"ENSMUSG00000000085",281.657213467081,0.204828916292934,0.327729474129835,0.624993882032678,0.531975073461242,0.999903209653165,"Scmh1","Scmh1"
"ENSMUSG00000000088",1043.06397225939,0.150074960174587,0.114322712746522,1.31273092257122,0.189273633899197,0.999903209653165,"Cox5a","Cox5a"
"ENSMUSG00000000093",448.255653249367,0.252958714376921,0.175327403608119,1.44277910452788,0.149082707200584,0.999903209653165,"Tbx2","Tbx2"
"ENSMUSG00000000094",2.82157303263794,-0.50349400897763,1.6109098270572,-0.312552571547353,0.754620616308131,0.999903209653165,"Tbx4","Tbx4"
"ENSMUSG00000000103",0,NA,NA,NA,NA,NA,"Zfy2","Zfy2"
"ENSMUSG00000000120",125.356815141068,0.467374477999806,0.350504424579264,1.33343388906097,0.182389457358068,0.999903209653165,"Ngfr","Ngfr"
"ENSMUSG00000000125",0.805421567567059,0.911157632165783,2.75352276731089,0.330906155192472,0.740715372484808,0.999903209653165,"Wnt3","Wnt3"
"ENSMUSG00000000126",37.0760270154758,0.176254457258681,0.510141085501943,0.345501396119191,0.729717460871262,0.999903209653165,"Wnt9a","Wnt9a"
"ENSMUSG00000000127",446.490408725318,-0.0515195044239347,0.151233154958571,-0.340662762990351,0.733357474404098,0.999903209653165,"Fer","Fer"
"ENSMUSG00000000131",1931.35867773646,0.079628848905058,0.125594734133757,0.634014231999998,0.526071534151741,0.999903209653165,"Xpo6","Xpo6"
"ENSMUSG00000000134",767.077646165489,-0.101808737836316,0.169088401028486,-0.602103616907254,0.547105167096052,0.999903209653165,"Tfe3","Tfe3"
"ENSMUSG00000000142",1361.5736066667,0.359287865167732,0.132133845034649,2.71912063917854,0.00654557302001275,0.502311440263213,"Axin2","Axin2"
"ENSMUSG00000000148",451.660168604388,0.155697912833079,0.17865064300982,0.871521704092164,0.383469360414555,0.999903209653165,"Brat1","Brat1"
"ENSMUSG00000000149",3602.68770275551,-0.0205279675835264,0.0934836059103494,-0.219588957696098,0.826191292005593,0.999903209653165,"Gna12","Gna12"
"ENSMUSG00000000154",36.6639806461242,0.225717703502834,0.479209118641515,0.471021303064327,0.637625522150772,0.999903209653165,"Slc22a18","Slc22a18"
"ENSMUSG00000000157",0,NA,NA,NA,NA,NA,"Itgb2l","Itgb2l"
"ENSMUSG00000000159",0,NA,NA,NA,NA,NA,"Igsf5","Igsf5"
"ENSMUSG00000000167",29.2820164947383,-0.106610961820795,0.512409132073562,-0.208058278331952,0.83518346332113,0.999903209653165,"Pih1d2","Pih1d2"
"ENSMUSG00000000168",1371.06149168114,-0.0264140069221967,0.108399638509746,-0.243672463168056,0.807484501813634,0.999903209653165,"Dlat","Dlat"
"ENSMUSG00000000171",1788.20666350852,0.0496071767436252,0.113614216962593,0.436628250141953,0.662380971542556,0.999903209653165,"Sdhd","Sdhd"
"ENSMUSG00000000182",0,NA,NA,NA,NA,NA,"Fgf23","Fgf23"
"ENSMUSG00000000183",0,NA,NA,NA,NA,NA,"Fgf6","Fgf6"
"ENSMUSG00000000184",9677.71756035294,-0.0361449383275189,0.0915260127951878,-0.394914377056959,0.692906079253416,0.999903209653165,"Ccnd2","Ccnd2"
"ENSMUSG00000000194",1936.47605502249,-0.0363193968771286,0.117415263396651,-0.309324323145576,0.757074830427665,0.999903209653165,"Gpr107","Gpr107"
"ENSMUSG00000000197",328.292204601528,-0.0778689616926804,0.174162987601417,-0.447103961439202,0.654799998905515,0.999903209653165,"Nalcn","Nalcn"
"ENSMUSG00000000202",0,NA,NA,NA,NA,NA,"Btbd17","Btbd17"
"ENSMUSG00000000204",1.74360437254459,0.0725083656887554,2.18010104174497,0.0332591766621601,0.973467908039621,0.999903209653165,"Slfn4","Slfn4"
"ENSMUSG00000000214",4015.36883852141,0.422296182729786,0.149520865322352,2.82432944605662,0.00473796569071366,0.419840003271831,"Th","Th"
"ENSMUSG00000000215",0,NA,NA,NA,NA,NA,"Ins2","Ins2"
"ENSMUSG00000000216",0,NA,NA,NA,NA,NA,"Scnn1g","Scnn1g"
"ENSMUSG00000000223",17.981106134424,-0.884580810660632,0.688705960130246,-1.28440998317096,0.198998541709899,0.999903209653165,"Drp2","Drp2"
"ENSMUSG00000000244",32.0546563992411,0.223902210304577,0.507481153795693,0.441203005530168,0.659066037557623,0.999903209653165,"Tspan32","Tspan32"
"ENSMUSG00000000247",0,NA,NA,NA,NA,NA,"Lhx2","Lhx2"
"ENSMUSG00000000248",0,NA,NA,NA,NA,NA,"Clec2g","Clec2g"
"ENSMUSG00000000253",209.35482260887,-0.104352611718188,0.261133523445234,-0.399613999541018,0.689440843608157,0.999903209653165,"Gmpr","Gmpr"
"ENSMUSG00000000263",0,NA,NA,NA,NA,NA,"Glra1","Glra1"
"ENSMUSG00000000266",1105.36300209057,-0.332628966578001,0.143540731384271,-2.3173141405245,0.0204866255725761,0.77859703768215,"Mid2","Mid2"
"ENSMUSG00000000275",3752.73645569561,0.150228942572262,0.142858601311947,1.05159186211141,0.292986843033616,0.999903209653165,"Trim25","Trim25"
"ENSMUSG00000000276",836.855780570816,0.0457849746122806,0.18133151496806,0.252493200756334,0.800659868910463,0.999903209653165,"Dgke","Dgke"
"ENSMUSG00000000278",2282.4880071059,0.0336935088251771,0.13083111024804,0.257534379715178,0.796766278892419,0.999903209653165,"Scpep1","Scpep1"
"ENSMUSG00000000282",302.255914157708,0.0650678082440667,0.310601014081689,0.209490005808396,0.834065736515299,0.999903209653165,"Mnt","Mnt"
"ENSMUSG00000000290",383.100139244638,-0.0796263328004487,0.241840846310662,-0.329250968209741,0.741966001454031,0.999903209653165,"Itgb2","Itgb2"
"ENSMUSG00000000295",285.117732753701,-0.124756691085854,0.192560659146311,-0.647882551082577,0.517060917216398,0.999903209653165,"Hddc2","Hddc2"
"ENSMUSG00000000296",476.001593826097,-0.159021284875399,0.158269368770289,-1.00475086310732,0.315016829714745,0.999903209653165,"Tpd52l1","Tpd52l1"
"ENSMUSG00000000301",44.3872306284103,-0.0619747238561256,0.476844587182117,-0.129968391216017,0.896591434690482,0.999903209653165,"Pemt","Pemt"
"ENSMUSG00000000303",3.48216775218013,-0.668238542168837,1.36791368119328,-0.488509290722136,0.625189146565308,0.999903209653165,"Cdh1","Cdh1"
"ENSMUSG00000000305",114.915813852263,0.443111303326625,0.297610874900851,1.48889486472646,0.136515056046679,0.999903209653165,"Cdh4","Cdh4"
"ENSMUSG00000000308",50.6952766919686,0.0969919731644487,0.436843226747861,0.222029248081786,0.824291114845234,0.999903209653165,"Ckmt1","Ckmt1"
"ENSMUSG00000000317",454.356100597526,0.131313674962981,0.291902301942412,0.449854879831978,0.652815083458977,0.999903209653165,"Bcl6b","Bcl6b"
"ENSMUSG00000000318",24.1874233025056,0.489999208749196,0.720167138225142,0.680396511783089,0.496253429121142,0.999903209653165,"Clec10a","Clec10a"
"ENSMUSG00000000320",64.517467784171,-0.220802702177553,0.396221200949379,-0.557271296055061,0.577342084133676,0.999903209653165,"Alox12","Alox12"
"ENSMUSG00000000326",3498.45967938692,0.0136198866546051,0.107383215618169,0.126834408675508,0.899071461469304,0.999903209653165,"Comt","Comt"
"ENSMUSG00000000339",525.387370407023,0.0899993535699621,0.148676508908938,0.605336742370544,0.544955272860904,0.999903209653165,"Rtca","Rtca"
"ENSMUSG00000000340",1929.9344273588,0.0857207263096526,0.144510605711648,0.593179482485163,0.553061042187565,0.999903209653165,"Dbt","Dbt"
"ENSMUSG00000000346",3299.96112626135,-0.171593842673403,0.105585893224967,-1.62515879188326,0.104128728371049,0.999903209653165,"Dazap2","Dazap2"
"ENSMUSG00000000355",383.405240915066,-0.00622820504527863,0.157832566765345,-0.0394608360804162,0.968522977461049,0.999903209653165,"Mcts1","Mcts1"
"ENSMUSG00000000359",236.110982738185,0.118641747150948,0.24703443506328,0.480264004977916,0.631039680213912,0.999903209653165,"Rem1","Rem1"
"ENSMUSG00000000365",39.9763920828087,0.0557694439588722,0.479835604424119,0.116226147965415,0.907473314103842,0.999903209653165,"Rnf17","Rnf17"
"ENSMUSG00000000374",1841.40663233154,-0.00904417688107234,0.111230477001221,-0.0813102409061235,0.93519522989373,0.999903209653165,"Trappc10","Trappc10"
"ENSMUSG00000000378",460.483416743549,-0.0862346090159266,0.161953902713331,-0.532463914553312,0.594404728169135,0.999903209653165,"Ccm2","Ccm2"
"ENSMUSG00000000381",0,NA,NA,NA,NA,NA,"Wap","Wap"
"ENSMUSG00000000384",384.554395329452,-0.0397586049671783,0.176464683304952,-0.225306300516068,0.821740998570835,0.999903209653165,"Tbrg4","Tbrg4"
"ENSMUSG00000000385",0.802241403426046,-2.68718052721866,3.66835358297775,-0.732530402654742,0.463844893098162,0.999903209653165,"Tmprss2","Tmprss2"
"ENSMUSG00000000386",29.5450977087439,-0.772061075794435,0.540084944361458,-1.42951786354134,0.152855444333234,0.999903209653165,"Mx1","Mx1"
"ENSMUSG00000000392",80.9628609789849,-0.21152011045987,0.321494523382423,-0.657927569759138,0.510584674050451,0.999903209653165,"Fap","Fap"
"ENSMUSG00000000394",0,NA,NA,NA,NA,NA,"Gcg","Gcg"
"ENSMUSG00000000399",1873.30272142186,-0.016410996355365,0.103799798864929,-0.158102390706172,0.874376116795913,0.999903209653165,"Ndufa9","Ndufa9"
"ENSMUSG00000000402",130.695159990818,-0.336275431922853,0.256319036251799,-1.31194091878727,0.189540069779933,0.999903209653165,"Egfl6","Egfl6"
"ENSMUSG00000000409",52.4468354890436,-0.414785897432946,0.379442328922682,-1.09314608786693,0.274329663315402,0.999903209653165,"Lck","Lck"
"ENSMUSG00000000411",0,NA,NA,NA,NA,NA,"Tssk3","Tssk3"
"ENSMUSG00000000416",1784.41091376834,0.242759294848244,0.11096060857589,2.18779707469081,0.0286843870738309,0.863409333895473,"Cttnbp2","Cttnbp2"
"ENSMUSG00000000420",2726.18881969214,-0.000571844020881725,0.116177589212842,-0.0049221543049416,0.996072704932362,0.999903209653165,"Galnt1","Galnt1"
"ENSMUSG00000000435",0,NA,NA,NA,NA,NA,"Myf5","Myf5"
"ENSMUSG00000000439",887.674167989584,0.106820760993107,0.21886900791154,0.488057957645063,0.625508789258792,0.999903209653165,"Mkrn2","Mkrn2"
"ENSMUSG00000000440",62.836859172039,-0.464056185002829,0.436168914320466,-1.06393685970448,0.28735730373914,0.999903209653165,"Pparg","Pparg"
"ENSMUSG00000000441",2050.69085519842,0.098483133898723,0.100842101025025,0.976607318745608,0.328763594417708,0.999903209653165,"Raf1","Raf1"
"ENSMUSG00000000486",29.8135420208481,-0.394925331325048,0.551605920357466,-0.715955570362838,0.474018783467855,0.999903209653165,"Septin1","Septin1"
"ENSMUSG00000000489",768.333712185817,0.189560196356328,0.175558729659039,1.07975374807326,0.280251852465697,0.999903209653165,"Pdgfb","Pdgfb"
"ENSMUSG00000000530",622.774960153085,-0.081806495634402,0.139809082577022,-0.585130051113341,0.55846027389469,0.999903209653165,"Acvrl1","Acvrl1"
"ENSMUSG00000000531",302.586217863829,-0.523061682531649,0.345788270729525,-1.51266461823046,0.130364871288788,0.999903209653165,"Tamalin","Tamalin"
"ENSMUSG00000000532",276.757119818316,-0.00606780031632484,0.208856818295374,-0.0290524406425818,0.976822766638811,0.999903209653165,"Acvr1b","Acvr1b"
"ENSMUSG00000000538",2288.30712713626,-0.105101458860128,0.114458524685,-0.91824928854689,0.358488369769681,0.999903209653165,"Tom1l2","Tom1l2"
"ENSMUSG00000000544",8.36730760590759,-0.577558797712426,0.95900136138734,-0.602250237556389,0.547007579660205,0.999903209653165,"Gpa33","Gpa33"
"ENSMUSG00000000552",58.2338798507182,-0.390720491443339,0.364809464977292,-1.0710261902543,0.284157653668923,0.999903209653165,"Zfp385a","Zfp385a"
"ENSMUSG00000000555",418.338312315431,-0.0917011849963779,0.191174261023825,-0.479673280834336,0.631459729828128,0.999903209653165,"Itga5","Itga5"
"ENSMUSG00000000560",0,NA,NA,NA,NA,NA,"Gabra2","Gabra2"
"ENSMUSG00000000561",1259.35307318525,0.241789733523293,0.111172084712619,2.17491409060397,0.0296365548027221,0.865165218421473,"Wdr77","Wdr77"
"ENSMUSG00000000562",12.0360858891806,0.775875957284968,0.825079270109486,0.940365350812912,0.347030188865974,0.999903209653165,"Adora3","Adora3"
"ENSMUSG00000000563",3607.33101086153,-0.00399429462161872,0.091743688302545,-0.0435375413341424,0.965273039227601,0.999903209653165,"Atp5pb","Atp5pb"
"ENSMUSG00000000567",21.8385812653477,-0.885984257074847,0.787211213791996,-1.12547209891366,0.260389033928367,0.999903209653165,"Sox9","Sox9"
"ENSMUSG00000000568",430.83899267817,-0.527071343973558,0.26547602398087,-1.98538209240145,0.0471019767971941,0.974726442602163,"Hnrnpd","Hnrnpd"
"ENSMUSG00000000579",135.993080743417,0.181537497932466,0.249808437438704,0.726706831017309,0.467405567908708,0.999903209653165,"Dynlt1c","Dynlt1c"
"ENSMUSG00000000581",927.473863489402,-0.101137777147084,0.12451917572329,-0.81222652302032,0.41666166310592,0.999903209653165,"C1d","C1d"
"ENSMUSG00000000594",6788.80410853748,0.023243736349478,0.098969611817593,0.234857305415299,0.814319488102328,0.999903209653165,"Gm2a","Gm2a"
"ENSMUSG00000000600",1214.66839526495,-0.0412829515403269,0.11743169372347,-0.351548634200412,0.725176792961411,0.999903209653165,"Krit1","Krit1"
"ENSMUSG00000000605",2991.2553052755,0.0151273227285505,0.123680657701452,0.122309526887105,0.902653887283268,0.999903209653165,"Clcn4","Clcn4"
"ENSMUSG00000000606",1.37022573615696,0.591667165999438,2.66150076308708,0.222305841202601,0.824075805247073,0.999903209653165,"Vmn2r88","Vmn2r88"
"ENSMUSG00000000617",0,NA,NA,NA,NA,NA,"Grm6","Grm6"
"ENSMUSG00000000627",15.7236820772335,-0.5329881188302,0.875562602578951,-0.608737875807275,0.542698197390884,0.999903209653165,"Sema4f","Sema4f"
"ENSMUSG00000000628",312.270242289891,-0.564055185623499,0.255249686596668,-2.20981734843337,0.0271178412133103,0.846078678556731,"Hk2","Hk2"
"ENSMUSG00000000631",3521.49603342407,-0.208481854762786,0.144091377348687,-1.44687252352568,0.147932629907122,0.999903209653165,"Myo18a","Myo18a"
"ENSMUSG00000000632",7.67233509649435,0.645470245919597,0.943175983074353,0.684358229538074,0.493748985587427,0.999903209653165,"Sez6","Sez6"
"ENSMUSG00000000673",7.94391891969119,-1.19876691323226,1.24248543287921,-0.964813656168471,0.334638154661173,0.999903209653165,"Haao","Haao"
"ENSMUSG00000000682",180.452130355298,0.0778218680093107,0.228853251487024,0.340051397581839,0.733817822066976,0.999903209653165,"Cd52","Cd52"
"ENSMUSG00000000686",226.773749622539,0.319325239763026,0.223751079679423,1.42714502303424,0.1535380972652,0.999903209653165,"Abhd15","Abhd15"
"ENSMUSG00000000690",456.163517853232,-0.0115463455551512,0.228558038698025,-0.0505182211963521,0.959709429528179,0.999903209653165,"Hoxb6","Hoxb6"
"ENSMUSG00000000693",199.080601981256,-0.145783892997107,0.252929047668944,-0.576382563966801,0.564356627140699,0.999903209653165,"Loxl3","Loxl3"
"ENSMUSG00000000701",0,NA,NA,NA,NA,NA,"Tcl1b5","Tcl1b5"
"ENSMUSG00000000706",0.713658197131775,-2.50689699125175,4.47189313701501,-0.560589646139242,0.575077311451283,0.999903209653165,"Btn1a1","Btn1a1"
"ENSMUSG00000000708",2550.27224641469,-0.13126655880257,0.0964369248576993,-1.36116491682273,0.173461578396876,0.999903209653165,"Kat2b","Kat2b"
"ENSMUSG00000000711",3465.48912529019,-0.082858273477357,0.0992125554393271,-0.835159150073788,0.403628106411415,0.999903209653165,"Rab5b","Rab5b"
"ENSMUSG00000000724",0,NA,NA,NA,NA,NA,"Cryba1","Cryba1"
"ENSMUSG00000000730",111.087178903417,-0.120823533821428,0.533092561418391,-0.226646444849942,0.820698674153542,0.999903209653165,"Dnmt3l","Dnmt3l"
"ENSMUSG00000000731",0,NA,NA,NA,NA,NA,"Aire","Aire"
