"","filtered_S3_quant_filtered","filtered_S5_quant_filtered","filtered_S6_quant_filtered","filtered_S7_quant_filtered","filtered_S10_quant_filtered"
"ENSMUSG00000000001",5143.30009586977,5650.83032874611,5375.37864565102,6387.21486947303,6786.22287644336
"ENSMUSG00000000003",0,0,0,0,0
"ENSMUSG00000000028",78.2211970175406,89.3694430919895,73.8199232969373,94.8617553686548,86.5559484667824
"ENSMUSG00000000037",30.4661347713801,23.613296331082,17.2654418729775,11.8883634369011,8.78035696858176
"ENSMUSG00000000049",0,1.63146201694641,0,0,0.769068283790582
"ENSMUSG00000000056",230.863042928512,355.392643119399,341.111456141952,451.071698367302,386.196110570355
"ENSMUSG00000000058",635.014476464897,641.384222626827,599.524865111165,631.246629671576,595.182201010791
"ENSMUSG00000000078",1911.30598467596,1878.93273637265,1808.88765938978,1879.24366845451,1685.70235137004
"ENSMUSG00000000085",346.401944579898,212.131064961577,233.998234742515,410.695269123321,205.059553928094
"ENSMUSG00000000088",975.555041684463,996.879199173305,1026.33261236188,1082.19653473609,1134.35647334119
"ENSMUSG00000000093",428.38012980549,363.74743190157,455.888407924482,535.704001639927,457.558294975364
"ENSMUSG00000000094",4.81028539923194,3.56501575859284,1.12461216718881,3.55895245026287,1.04899938791322
"ENSMUSG00000000103",0,0,0,0,0
"ENSMUSG00000000120",147.269651744066,91.3420424759726,85.9512243973037,184.150522777658,118.070634310338
"ENSMUSG00000000125",0.604599318010718,1.18729967083415,0,1.18983853013777,1.04537031885266
"ENSMUSG00000000126",25.5603418184412,29.7010962828973,50.7797314601418,46.3054613216547,33.033504194244
"ENSMUSG00000000127",433.217522388036,444.396395439156,481.517350230545,441.440821852266,431.879953716588
"ENSMUSG00000000131",1992.85020125973,1937.71709514584,1734.10835474912,1850.87299273792,2141.24474478972
"ENSMUSG00000000134",867.977138119384,818.9392101126,677.076614785078,809.589953593225,661.805314217157
"ENSMUSG00000000142",1082.23516222578,1268.62897017466,1321.3077397203,1545.7804278968,1589.91573331593
"ENSMUSG00000000148",368.884502477945,446.93143374845,481.645331444347,501.929052330033,458.910523021165
"ENSMUSG00000000149",3526.51078869293,3765.69014377242,3578.26153713416,3631.53846220977,3511.4375819683
"ENSMUSG00000000154",28.1573758174183,41.4192007705807,33.7777983910595,49.3685139255048,30.5970143260579
"ENSMUSG00000000157",0,0,0,0,0
"ENSMUSG00000000159",0,0,0,0,0
"ENSMUSG00000000167",28.4051976933782,29.581648753466,32.1467812718086,35.0602416800184,21.2162130750203
"ENSMUSG00000000168",1353.87424401058,1373.43295840719,1415.96397230178,1398.5530010127,1313.48328267346
"ENSMUSG00000000171",1687.04878604727,1714.54875047734,1889.70135860833,1891.08541086833,1758.64901154133
"ENSMUSG00000000182",0,0,0,0,0
"ENSMUSG00000000183",0,0,0,0,0
"ENSMUSG00000000184",9751.31529456468,10059.4835065826,9513.17524323158,9132.80697781155,9931.80677957427
"ENSMUSG00000000194",1831.91522927452,2104.79032407758,1932.38841286208,1994.20411310842,1819.08219578987
"ENSMUSG00000000197",359.200598919179,308.866429406718,337.022185799482,307.388816624565,328.982992257695
"ENSMUSG00000000202",0,0,0,0,0
"ENSMUSG00000000204",0.596181950860268,1.19366565651202,3.35904870100315,3.56912555434751,0
"ENSMUSG00000000214",3063.24568120006,3977.55056526083,3566.51415504487,4239.96000464172,5229.57378645956
"ENSMUSG00000000215",0,0,0,0,0
"ENSMUSG00000000216",0,0,0,0,0
"ENSMUSG00000000223",19.7458120451452,28.9523394229092,17.7123134176684,16.0295012547641,7.46556453163312
"ENSMUSG00000000244",22.631101406348,28.7754532863042,39.5234819331582,30.8318225379896,38.5114228324052
"ENSMUSG00000000247",0,0,0,0,0
"ENSMUSG00000000248",0,0,0,0,0
"ENSMUSG00000000253",262.137091335742,162.424457224312,220.04656289786,214.095827674683,188.070173911751
"ENSMUSG00000000263",0,0,0,0,0
"ENSMUSG00000000266",1294.11511805657,1109.49790835228,1208.15542501022,1049.84768355292,865.198875480865
"ENSMUSG00000000275",3821.08801963422,3973.53833446353,2989.39382891695,3911.18443605705,4068.47765940632
"ENSMUSG00000000276",1003.80680454024,697.557903494514,774.47437077648,883.264025308388,825.175798734461
"ENSMUSG00000000278",1969.13253954952,2412.19017554817,2404.79176173337,2373.52698843319,2252.79857026524
"ENSMUSG00000000282",346.69573688997,329.499242581787,212.813677751591,216.590023534007,405.680890031185
"ENSMUSG00000000290",501.132087751518,365.350539505607,306.569568546831,331.899642015263,410.54885840397
"ENSMUSG00000000295",264.794433151148,314.488118978078,306.877407544601,249.982348611354,289.446355483325
"ENSMUSG00000000296",511.654116991796,444.917520644525,533.138190096304,438.099201687733,452.198939710127
"ENSMUSG00000000301",55.5070015858698,50.9863427200738,28.7980117159183,51.6210215843266,35.0237755358628
"ENSMUSG00000000303",4.50650704700279,3.35097027975381,4.40757932303667,2.21324439063298,2.93253772047439
"ENSMUSG00000000305",102.281977723708,114.656165669133,84.519733409284,113.164720840167,159.956471619022
"ENSMUSG00000000308",64.2878079886341,32.2244816604498,50.7184626856186,54.7994546850387,51.4461764401016
"ENSMUSG00000000317",300.843695813563,621.012424977357,393.596315370351,409.068521664158,547.259545162199
"ENSMUSG00000000318",25.9488565035168,10.4582395075195,24.8051721372846,45.7418224060214,13.983025958186
"ENSMUSG00000000320",67.5357781618246,78.0077418653185,59.6079223931091,75.8741260125344,41.5617704880684
"ENSMUSG00000000326",3227.80714776968,3542.735990463,3688.00716258335,3408.86263386321,3624.88546225538
"ENSMUSG00000000339",524.872486953125,515.701716186911,495.044782134403,585.216700612733,506.101166147944
"ENSMUSG00000000340",1590.104079828,2089.5194753539,1974.84796432475,2027.17026273402,1968.03035455331
"ENSMUSG00000000346",3531.03137529926,3241.00311597973,3591.33126827464,3200.8460353013,2935.59383645182
"ENSMUSG00000000355",378.422230728368,382.997765174131,391.211779359288,363.655249380202,400.739179933341
"ENSMUSG00000000359",239.38810034246,208.291214431549,235.690470542694,303.221206163212,193.963922211013
"ENSMUSG00000000365",45.489108413919,25.6891824961864,46.4177897696449,45.8588481477052,36.4270315865881
"ENSMUSG00000000374",1710.13188226131,1916.19422221481,1914.06414996946,1834.93180669574,1831.7111005164
"ENSMUSG00000000378",494.479120602231,474.606632055028,443.490011623466,483.41689264277,406.424426794248
"ENSMUSG00000000381",0,0,0,0,0
"ENSMUSG00000000384",392.943838553208,416.629191030151,356.86642266975,342.264698419534,414.067825974618
"ENSMUSG00000000385",3.42110941261657,0,0.590097604513662,0,0
"ENSMUSG00000000386",26.8899769509624,48.9151607837359,30.9073173483638,17.815934610789,23.1970988498684
"ENSMUSG00000000392",82.66593047545,90.905851322989,83.8203915252266,61.3593534577583,86.0627781135008
"ENSMUSG00000000394",0,0,0,0,0
"ENSMUSG00000000399",1790.16544737974,1946.03274245128,1911.07274910626,1861.14568805924,1858.09698011278
"ENSMUSG00000000402",154.87049782275,148.578187675898,123.827525537194,110.540875970479,115.658712947771
"ENSMUSG00000000409",62.8093570827946,52.2847388999181,59.739326994495,38.4288301954006,48.9719242726098
"ENSMUSG00000000411",0,0,0,0,0
"ENSMUSG00000000416",1669.17403604104,1758.75439176064,1559.81730435689,2018.13163718083,1916.17719950229
"ENSMUSG00000000420",2857.2764799789,2513.79578631767,2807.30142538661,2566.69543135865,2885.87497541889
"ENSMUSG00000000435",0,0,0,0,0
"ENSMUSG00000000439",631.660071689201,933.556091501897,1020.59729574943,1034.42872914153,818.128651865859
"ENSMUSG00000000440",51.859911745194,74.2375597015611,86.6615042775963,66.3202111855195,35.1051089503243
"ENSMUSG00000000441",1948.56649000771,1958.26089621561,2076.79430213353,2171.73980202764,2098.09278560759
"ENSMUSG00000000486",36.8281845045781,37.7870217909554,24.4056637238,16.7825126647014,33.2643274202055
"ENSMUSG00000000489",593.999866191505,824.128701568168,767.113676840076,789.70461626409,866.721700065245
"ENSMUSG00000000530",677.715979669375,633.610847366538,597.952563438754,586.01841551792,618.576994772837
"ENSMUSG00000000531",509.780782476262,197.356537290238,324.879902313872,263.218756507651,217.695110731123
"ENSMUSG00000000532",268.436732929837,250.010747802217,313.013284222277,308.702790981818,243.62204315543
"ENSMUSG00000000538",2225.57920347028,2425.35730042138,2413.31688965692,2333.53468574519,2043.74755638754
"ENSMUSG00000000544",13.6579616174395,7.04467818825246,7.69229587018149,8.79709900436461,4.64450334929988
"ENSMUSG00000000552",74.3085114805854,58.4101246072941,59.8717880805026,49.6262370882454,48.9527379969634
"ENSMUSG00000000555",438.881102041292,388.288952248072,457.68498200385,462.66637280831,344.17015247563
"ENSMUSG00000000560",0,0,0,0,0
"ENSMUSG00000000561",1133.25891788128,1167.56635072592,1221.7872778482,1361.62416534407,1412.52865412678
"ENSMUSG00000000562",7.49724312558316,15.651241070488,5.36051066066275,17.7128681209296,13.9585664682396
"ENSMUSG00000000563",3490.83428688757,3626.17737462498,3718.43950684432,3591.16913719383,3610.03474875696
"ENSMUSG00000000567",33.3088653345577,16.3340497162806,30.3397226106043,24.8808621041019,4.32940656119395
"ENSMUSG00000000568",582.448019866344,410.348477155549,478.877988790043,244.671138267454,437.849339311462
"ENSMUSG00000000579",139.767319993207,116.910111709906,129.713976113356,155.270893483742,138.303102416876
"ENSMUSG00000000581",983.294727152257,901.483825018775,973.866594962413,924.31541765268,854.408752660884
"ENSMUSG00000000594",7204.03113169142,6632.82919329973,6395.14411657616,6999.07368729663,6712.94241382345
