"","filtered_S3_quant_filtered","filtered_S5_quant_filtered","filtered_S6_quant_filtered","filtered_S7_quant_filtered","filtered_S10_quant_filtered"
"ENSMUSG00000000001",8690,4778,4843,5377,6263
"ENSMUSG00000000003",0,0,0,0,0
"ENSMUSG00000000028",115,74,66,82,92
"ENSMUSG00000000037",49,9,15,14,14
"ENSMUSG00000000049",0,1,0,0,1
"ENSMUSG00000000056",398,315,312,406,307
"ENSMUSG00000000058",1120,552,542,540,507
"ENSMUSG00000000078",3194,1642,1526,1526,1685
"ENSMUSG00000000085",573,203,201,241,257
"ENSMUSG00000000088",1613,834,912,903,1106
"ENSMUSG00000000093",685,308,397,449,463
"ENSMUSG00000000094",8,3,1,3,1
"ENSMUSG00000000103",0,0,0,0,0
"ENSMUSG00000000120",241,77,76,155,115
"ENSMUSG00000000125",1,1,0,1,1
"ENSMUSG00000000126",42,25,45,39,32
"ENSMUSG00000000127",729,366,434,375,407
"ENSMUSG00000000131",3095,1547,1653,1703,1969
"ENSMUSG00000000134",1352,653,593,718,686
"ENSMUSG00000000142",1696,1127,1227,1275,1491
"ENSMUSG00000000148",596,381,432,419,445
"ENSMUSG00000000149",5785,3169,3169,3056,3413
"ENSMUSG00000000154",48,30,31,43,31
"ENSMUSG00000000157",0,0,0,0,0
"ENSMUSG00000000159",0,0,0,0,0
"ENSMUSG00000000167",46,20,28,30,26
"ENSMUSG00000000168",2201,1106,1259,1183,1334
"ENSMUSG00000000171",2793,1430,1675,1590,1709
"ENSMUSG00000000182",0,0,0,0,0
"ENSMUSG00000000183",0,0,0,0,0
"ENSMUSG00000000184",17674,8173,8375,7843,8921
"ENSMUSG00000000194",2965,1681,1765,1651,1861
"ENSMUSG00000000197",614,258,305,260,301
"ENSMUSG00000000202",0,0,0,0,0
"ENSMUSG00000000204",1,1,3,3,0
"ENSMUSG00000000214",5042,3327,3115,3591,5135
"ENSMUSG00000000215",0,0,0,0,0
"ENSMUSG00000000216",0,0,0,0,0
"ENSMUSG00000000223",33,12,20,17,9
"ENSMUSG00000000244",49,27,28,25,33
"ENSMUSG00000000247",0,0,0,0,0
"ENSMUSG00000000248",0,0,0,0,0
"ENSMUSG00000000253",459,147,192,160,182
"ENSMUSG00000000263",0,0,0,0,0
"ENSMUSG00000000266",1977,927,1030,940,888
"ENSMUSG00000000275",6219,3488,2749,3217,3765
"ENSMUSG00000000276",1685,589,710,740,758
"ENSMUSG00000000278",3264,2016,2142,1996,2171
"ENSMUSG00000000282",547,269,223,217,300
"ENSMUSG00000000290",812,302,274,286,398
"ENSMUSG00000000295",437,263,275,206,284
"ENSMUSG00000000296",849,373,476,365,437
"ENSMUSG00000000301",99,39,28,47,29
"ENSMUSG00000000303",8,3,3,2,3
"ENSMUSG00000000305",185,105,82,88,128
"ENSMUSG00000000308",106,27,45,46,50
"ENSMUSG00000000317",527,482,356,339,537
"ENSMUSG00000000318",48,10,26,23,15
"ENSMUSG00000000320",110,68,52,67,38
"ENSMUSG00000000326",5281,2986,3237,2902,3518
"ENSMUSG00000000339",839,449,437,490,492
"ENSMUSG00000000340",2736,1771,1780,1675,1812
"ENSMUSG00000000346",5862,2705,3170,2739,2805
"ENSMUSG00000000355",635,318,352,310,375
"ENSMUSG00000000359",399,179,213,233,195
"ENSMUSG00000000365",58,29,56,26,37
"ENSMUSG00000000374",2880,1629,1717,1526,1715
"ENSMUSG00000000378",808,388,373,402,435
"ENSMUSG00000000381",0,0,0,0,0
"ENSMUSG00000000384",658,340,299,311,398
"ENSMUSG00000000385",3,0,1,0,0
"ENSMUSG00000000386",42,33,22,19,29
"ENSMUSG00000000392",154,61,74,55,87
"ENSMUSG00000000394",0,0,0,0,0
"ENSMUSG00000000399",2969,1624,1704,1562,1794
"ENSMUSG00000000402",259,125,111,93,109
"ENSMUSG00000000409",85,38,47,38,64
"ENSMUSG00000000411",0,0,0,0,0
"ENSMUSG00000000416",2910,1398,1395,1722,1812
"ENSMUSG00000000420",4881,2144,2509,2236,2544
"ENSMUSG00000000435",0,0,0,0,0
"ENSMUSG00000000439",1338,704,814,754,881
"ENSMUSG00000000440",111,48,68,67,32
"ENSMUSG00000000441",3138,1695,1815,1848,2024
"ENSMUSG00000000486",66,28,18,15,38
"ENSMUSG00000000489",985,718,622,681,858
"ENSMUSG00000000530",1102,548,521,519,570
"ENSMUSG00000000531",820,166,283,221,220
"ENSMUSG00000000532",445,210,278,261,233
"ENSMUSG00000000538",3723,1969,2102,1993,2023
"ENSMUSG00000000544",30,3,8,7,6
"ENSMUSG00000000552",121,49,53,41,49
"ENSMUSG00000000555",694,367,370,345,382
"ENSMUSG00000000560",0,0,0,0,0
"ENSMUSG00000000561",2019,979,1091,1072,1345
"ENSMUSG00000000562",15,12,6,12,12
"ENSMUSG00000000563",5776,2992,3366,3070,3417
"ENSMUSG00000000567",56,14,27,21,4
"ENSMUSG00000000568",939,311,391,248,433
"ENSMUSG00000000579",285,115,139,97,103
"ENSMUSG00000000581",1697,805,843,740,800
"ENSMUSG00000000594",11971,5563,5721,5869,6421
"ENSMUSG00000000600",2068,1079,1085,971,1120
"ENSMUSG00000000605",4354,2631,2829,2631,2776
"ENSMUSG00000000606",0,3,0,1,2
"ENSMUSG00000000617",0,0,0,0,0
"ENSMUSG00000000627",29,9,7,13,15
"ENSMUSG00000000628",588,231,427,189,229
"ENSMUSG00000000631",5786,2956,3504,2740,3180
"ENSMUSG00000000632",11,3,7,11,8
"ENSMUSG00000000673",10,10,12,0,8
"ENSMUSG00000000682",325,142,141,142,203
