"","baseMean","log2FoldChange","lfcSE","pvalue","padj","GENENAME","SYMBOL","ENTREZID"
"ENSMUSG00000000001",5868.58936323666,0.208027718153049,0.117758729534098,0.00253143356359089,0.231199182274707,"Gnai3","Gnai3","14679"
"ENSMUSG00000000003",0,NA,NA,NA,NA,"Pbsn","Pbsn","54192"
"ENSMUSG00000000028",84.5656534483809,0.00297419654117163,0.038890452623735,0.561445791555034,0.999631843368906,"Cdc45","Cdc45","12544"
"ENSMUSG00000000037",18.4027186761845,-0.00403742608627416,0.0393103413697564,0.0628830102820101,0.880304080226736,"Scml2","Scml2","107815"
"ENSMUSG00000000049",0.480106060147398,-2.36771847795977e-05,0.0390551912437052,0.969369441007681,NA,"Apoh","Apoh","11818"
"ENSMUSG00000000056",352.926990225504,0.0131011905771707,0.0417487710904411,0.0552439665220504,0.849446020731041,"Narf","Narf","67608"
"ENSMUSG00000000058",620.470478977051,-0.00223152613064035,0.0375944689009329,0.830930257036932,0.999631843368906,"Cav2","Cav2","12390"
"ENSMUSG00000000078",1832.81448005259,-0.00771661224214835,0.037760162785404,0.53643999988174,0.999631843368906,"Klf6","Klf6","23849"
"ENSMUSG00000000085",281.657213467081,0.00293283172329439,0.0389391263025493,0.531975073461242,0.999631843368906,"Scmh1","Scmh1","29871"
"ENSMUSG00000000088",1043.06397225939,0.0170424161425901,0.0418098657619689,0.189273633899197,0.999631843368906,"Cox5a","Cox5a","12858"
"ENSMUSG00000000093",448.255653249367,0.0126983093536928,0.0410511358536583,0.149082707200584,0.994588423645846,"Tbx2","Tbx2","21385"
"ENSMUSG00000000094",2.82157303263794,-0.000292313881557847,0.0390471524648361,0.754620616308131,NA,"Tbx4","Tbx4","21387"
"ENSMUSG00000000103",0,NA,NA,NA,NA,"Zfy2","Zfy2","22768"
"ENSMUSG00000000120",125.356815141068,0.00592370327280652,0.0394726586559508,0.18238945735807,0.999631843368906,"Ngfr","Ngfr","18053"
"ENSMUSG00000000125",0.805421567567059,0.000186405255026691,0.0390532158384621,0.740715372484808,NA,"Wnt3","Wnt3","22415"
"ENSMUSG00000000126",37.0760270154758,0.00103660766262527,0.038962001319241,0.729717460871264,0.999631843368906,"Wnt9a","Wnt9a","216795"
"ENSMUSG00000000127",446.490408725318,-0.0030068475938871,0.0379791921518481,0.733357474404098,0.999631843368906,"Fer","Fer","14158"
"ENSMUSG00000000131",1931.35867773646,0.00742767828013875,0.0382068533282546,0.526071534151741,0.999631843368906,"Xpo6","Xpo6","74204"
"ENSMUSG00000000134",767.077646165489,-0.00516868124209072,0.0385424421709204,0.547105167096062,0.999631843368906,"Tfe3","Tfe3","209446"
"ENSMUSG00000000142",1361.5736066667,0.196022673195184,0.24193739271998,0.0065455730200112,0.414511237643988,"Axin2","Axin2","12006"
"ENSMUSG00000000148",451.660168604388,0.00726565654690972,0.0390960490094047,0.383469360414555,0.999631843368906,"Brat1","Brat1","231841"
"ENSMUSG00000000149",3602.68770275551,0.000362546650869284,0.0360467893871046,0.826191292005593,0.999631843368906,"Gna12","Gna12","14673"
"ENSMUSG00000000154",36.6639806461242,0.00147606459107479,0.0389676533390655,0.63762552215077,0.999631843368906,"Slc22a18","Slc22a18","18400"
"ENSMUSG00000000157",0,NA,NA,NA,NA,"Itgb2l","Itgb2l","16415"
"ENSMUSG00000000159",0,NA,NA,NA,NA,"Igsf5","Igsf5","72058"
"ENSMUSG00000000167",29.2820164947383,-0.000603305528370283,0.0389520481139011,0.83518346332113,0.999631843368906,"Pih1d2","Pih1d2","72614"
"ENSMUSG00000000168",1371.06149168114,-0.00296028757897058,0.0368903308894959,0.807484501813584,0.999631843368906,"Dlat","Dlat","235339"
