,animal,birthdate,genotype,recording,start,cell,dt,end,angiotensin,potassium,pos,ctrl,TTA-P2,isra,start_corr,end_corr,activity,num_events,len_seg,ISI,intraburst_freq,burst_num_spikes,burst_length,burst_n,burst_per_cell_per_sec,activity_pos1,freq_pos1,burst_length_pos1,burst_n_pos1,burst_per_cell_per_sec_pos1,ISI_pos1,control,genotype_2,activity_pos2,freq_pos2,burst_length_pos2,burst_n_pos2,burst_per_cell_per_sec_pos2,ISI_pos2,activity_pos3,freq_pos3,burst_length_pos3,burst_n_pos3,burst_per_cell_per_sec_pos3,ISI_pos3
0,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,0,Mean1,0.1,4450,500,4,1,y,0,0,3250,4450,0.5499999999999999,66,120.0,40.6,0.8062770562770563,,,,,0.5499999999999999,0.8062770562770563,,,,40.6,y,wt_ctrl,,,,,,,,,,,,
1,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,4450,Mean1,0.1,10450,500,4,2,y,0,0,9250,10450,0.16666666666666666,20,120.0,,0.5322128851540615,,,,,0.5499999999999999,0.8062770562770563,,,,40.6,y,wt_ctrl,0.16666666666666666,0.5322128851540615,,,,,,,,,,
2,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,10450,Mean1,0.1,16450,500,4,3,y,0,0,15250,16450,0.2583333333333333,31,120.0,,0.5163511187607573,,,,,0.5499999999999999,0.8062770562770563,,,,40.6,y,wt_ctrl,0.16666666666666666,0.5322128851540615,,,,,0.2583333333333333,0.5163511187607573,,,,
3,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,0,Mean10,0.1,4450,500,4,1,y,0,0,3250,4450,0.575,69,120.0,,0.5908289241622575,,,,,0.575,0.5908289241622575,,,,,y,wt_ctrl,,,,,,,,,,,,
4,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,4450,Mean10,0.1,10450,500,4,2,y,0,0,9250,10450,0.24166666666666664,29,120.0,,0.5072463768115941,29.0,55.2,1.0,0.008333333333333333,0.575,0.5908289241622575,,,,,y,wt_ctrl,0.24166666666666664,0.5072463768115941,55.2,1.0,0.008333333333333333,,,,,,,
5,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,10450,Mean10,0.1,16450,500,4,3,y,0,0,15250,16450,0.008333333333333333,1,120.0,,,,,,,0.575,0.5908289241622575,,,,,y,wt_ctrl,0.24166666666666664,0.5072463768115941,55.2,1.0,0.008333333333333333,,0.008333333333333333,,,,,
6,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,0,Mean11,0.1,4450,500,4,1,y,0,0,3250,4450,0.5,60,120.0,,0.7365792759051186,,,,,0.5,0.7365792759051186,,,,,y,wt_ctrl,,,,,,,,,,,,
7,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,4450,Mean11,0.1,10450,500,4,2,y,0,0,9250,10450,0.03333333333333333,4,120.0,,,,,,,0.5,0.7365792759051186,,,,,y,wt_ctrl,0.03333333333333333,,,,,,,,,,,
8,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,10450,Mean11,0.1,16450,500,4,3,y,0,0,15250,16450,0,0,120.0,,,,,,,0.5,0.7365792759051186,,,,,y,wt_ctrl,0.03333333333333333,,,,,,0,,,,,
9,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,0,Mean12,0.1,4450,500,4,1,y,0,0,3250,4450,0.5499999999999999,66,120.0,43.5,0.8368005527948484,,,,,0.5499999999999999,0.8368005527948484,,,,43.5,y,wt_ctrl,,,,,,,,,,,,
