,animal,birthdate,genotype,recording,start,end,cell,dt,angiotensin,potassium,pos,ctrl,TTA-P2,isra,num_events_last120s,activity_last120s,freq_left,bins_left,date,bins_left_v2
0,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,0,4450,Mean1,0.1,500,4,1,y,0,0,66,0.5499999999999999,0.0,0,230223,0
1,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,0,4450,Mean1,0.1,500,4,1,y,0,0,66,0.5499999999999999,0.016666666666666666,600,230223,600
2,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,0,4450,Mean1,0.1,500,4,1,y,0,0,66,0.5499999999999999,0.35,1200,230223,1200
3,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,0,4450,Mean1,0.1,500,4,1,y,0,0,66,0.5499999999999999,0.7666666666666667,1800,230223,1800
4,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,0,4450,Mean1,0.1,500,4,1,y,0,0,66,0.5499999999999999,1.1166666666666667,2400,230223,2400
5,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,0,4450,Mean1,0.1,500,4,1,y,0,0,66,0.5499999999999999,1.0333333333333334,3000,230223,3000
6,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,0,4450,Mean1,0.1,500,4,1,y,0,0,66,0.5499999999999999,0.25,3600,230223,3600
7,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,0,4450,Mean1,0.1,500,4,1,y,0,0,66,0.5499999999999999,0.64,4200,230223,4200
8,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,4450,10450,Mean1,0.1,500,4,2,y,0,0,20,0.16666666666666666,0.26666666666666666,4450,230223,0
9,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,4450,10450,Mean1,0.1,500,4,2,y,0,0,20,0.16666666666666666,0.4166666666666667,5050,230223,600
10,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,4450,10450,Mean1,0.1,500,4,2,y,0,0,20,0.16666666666666666,0.2,5650,230223,1200
11,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,4450,10450,Mean1,0.1,500,4,2,y,0,0,20,0.16666666666666666,0.35,6250,230223,1800
12,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,4450,10450,Mean1,0.1,500,4,2,y,0,0,20,0.16666666666666666,0.11666666666666667,6850,230223,2400
13,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,4450,10450,Mean1,0.1,500,4,2,y,0,0,20,0.16666666666666666,0.16666666666666666,7450,230223,3000
