,animal,birthdate,genotype,recording,start,end,cell,dt,angiotensin,potassium,pos,ctrl,TTA-P2,isra,num_events_last120s,activity_last120s,freq_right,bins_right,date,bins_right_v2
0,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,0,4450,Mean1,0.1,500,4,1,y,0,0,66,0.5499999999999999,0.0,0,230223,-4450
1,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,0,4450,Mean1,0.1,500,4,1,y,0,0,66,0.5499999999999999,0.016666666666666666,250,230223,-4200
2,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,0,4450,Mean1,0.1,500,4,1,y,0,0,66,0.5499999999999999,0.11666666666666667,850,230223,-3600
3,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,0,4450,Mean1,0.1,500,4,1,y,0,0,66,0.5499999999999999,0.4666666666666667,1450,230223,-3000
4,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,0,4450,Mean1,0.1,500,4,1,y,0,0,66,0.5499999999999999,0.9833333333333333,2050,230223,-2400
5,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,0,4450,Mean1,0.1,500,4,1,y,0,0,66,0.5499999999999999,1.1166666666666667,2650,230223,-1800
6,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,0,4450,Mean1,0.1,500,4,1,y,0,0,66,0.5499999999999999,0.7333333333333333,3250,230223,-1200
7,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,0,4450,Mean1,0.1,500,4,1,y,0,0,66,0.5499999999999999,0.36666666666666664,3850,230223,-600
8,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,4450,10450,Mean1,0.1,500,4,2,y,0,0,20,0.16666666666666666,0.26666666666666666,4450,230223,-6000
9,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,4450,10450,Mean1,0.1,500,4,2,y,0,0,20,0.16666666666666666,0.4166666666666667,5050,230223,-5400
10,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,4450,10450,Mean1,0.1,500,4,2,y,0,0,20,0.16666666666666666,0.2,5650,230223,-4800
11,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,4450,10450,Mean1,0.1,500,4,2,y,0,0,20,0.16666666666666666,0.35,6250,230223,-4200
12,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,4450,10450,Mean1,0.1,500,4,2,y,0,0,20,0.16666666666666666,0.11666666666666667,6850,230223,-3600
13,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,4450,10450,Mean1,0.1,500,4,2,y,0,0,20,0.16666666666666666,0.16666666666666666,7450,230223,-3000
14,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,4450,10450,Mean1,0.1,500,4,2,y,0,0,20,0.16666666666666666,0.016666666666666666,8050,230223,-2400
15,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,4450,10450,Mean1,0.1,500,4,2,y,0,0,20,0.16666666666666666,0.2,8650,230223,-1800
16,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,4450,10450,Mean1,0.1,500,4,2,y,0,0,20,0.16666666666666666,0.0,9250,230223,-1200
17,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,4450,10450,Mean1,0.1,500,4,2,y,0,0,20,0.16666666666666666,0.3333333333333333,9850,230223,-600
18,114001,2022-10-01,wt,230223_slice05_500pM_AngII_ctrl_results.ome.csv,10450,16200,Mean1,0.1,500,4,3,y,0,0,20,0.16666666666666666,0.4,10450,230223,-5750
