,bin,baseline_ca,pos,cell,recording,animal,ctrl
0,-4.0,823.5375192598593,1,Mean1,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
1,-3.0,833.1389014162119,1,Mean1,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
2,-2.0,842.6478033830645,1,Mean1,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
3,-1.0,810.5471407493669,1,Mean1,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
4,0.0,794.892218635837,1,Mean1,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
5,1.0,789.8715383385932,2,Mean1,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
6,2.0,816.5217702559743,2,Mean1,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
7,3.0,853.2272644802924,2,Mean1,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
8,4.0,830.5666976243455,2,Mean1,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
9,5.0,801.5251333790868,2,Mean1,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
10,6.0,793.9275788624834,2,Mean1,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
11,7.0,775.1622267049617,2,Mean1,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
12,8.0,756.975936391134,2,Mean1,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
13,9.0,751.9887592699864,2,Mean1,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
14,10.0,750.1455593747983,2,Mean1,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
15,11.0,765.5707480732428,3,Mean1,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
16,12.0,750.2036262474795,3,Mean1,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
17,13.0,734.4953131211281,3,Mean1,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
18,14.0,,3,Mean1,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
19,15.0,776.2552727995765,3,Mean1,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
20,16.0,739.4300104446991,3,Mean1,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
21,17.0,724.7961465702562,3,Mean1,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
22,18.0,722.9173728090398,3,Mean1,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
23,19.0,730.9059529299551,3,Mean1,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
24,20.0,735.1489342678594,3,Mean1,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
25,21.0,755.2912639645766,4,Mean1,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
26,22.0,756.1566897030249,4,Mean1,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
27,23.0,746.425450689461,4,Mean1,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
28,24.0,,4,Mean1,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
29,25.0,771.4508793070077,4,Mean1,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
30,26.0,,4,Mean1,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
31,27.0,894.5856186680782,4,Mean1,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
32,28.0,,4,Mean1,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
33,29.0,,4,Mean1,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
34,30.0,,4,Mean1,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
35,-4.0,1015.2605729389842,1,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
36,-3.0,973.6753368305668,1,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
37,-2.0,951.7435247257362,1,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
38,-1.0,905.8907181692058,1,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
39,0.0,889.1205571832238,1,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
40,1.0,,2,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
41,2.0,,2,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
42,3.0,,2,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
43,4.0,917.9152003233471,2,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
44,5.0,910.0187464626931,2,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
45,6.0,,2,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
46,7.0,874.6258265538615,2,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
47,8.0,885.253759649818,2,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
48,9.0,,2,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
49,10.0,888.2157959996647,2,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
50,11.0,863.9728786846948,3,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
51,12.0,857.0797482082307,3,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
52,13.0,874.7922620524336,3,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
53,14.0,863.406561918477,3,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
54,15.0,846.849594311749,3,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
55,16.0,885.1709572320516,3,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
56,17.0,862.3077753388588,3,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
57,18.0,858.3704459000076,3,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
58,19.0,852.2766717663252,3,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
59,20.0,846.0836596177318,3,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
60,21.0,888.100022877221,4,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
61,22.0,,4,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
62,23.0,872.6496597550534,4,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
63,24.0,861.7846088045388,4,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
64,25.0,898.5209670448664,4,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
65,26.0,907.6085201911881,4,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
66,27.0,922.2324992889259,4,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
67,28.0,920.8336651358003,4,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
68,29.0,934.5672955220092,4,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
69,30.0,937.3340404631143,4,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
70,-4.0,1059.792442538128,1,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
71,-3.0,1032.1336656033263,1,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
72,-2.0,996.8831151058837,1,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
73,-1.0,1004.1072023565215,1,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
74,0.0,979.627310333548,1,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
75,1.0,956.5816954985299,2,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
76,2.0,946.7627675098315,2,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
77,3.0,944.0430467123385,2,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
78,4.0,,2,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
79,5.0,908.0517713557905,2,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
80,6.0,908.6650786411233,2,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
81,7.0,870.0064149577795,2,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
82,8.0,853.344515719904,2,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
83,9.0,838.4387364589786,2,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
84,10.0,878.4653560160277,2,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
85,11.0,867.248116415344,3,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
86,12.0,883.020547502192,3,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
87,13.0,855.6453958799347,3,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
88,14.0,849.0985209012804,3,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
89,15.0,860.9590056401586,3,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
90,16.0,826.9933830281245,3,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
91,17.0,842.2160411697328,3,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
92,18.0,860.121371964661,3,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
93,19.0,891.5411493663836,3,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
94,20.0,860.7256861696355,3,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
95,21.0,855.9601803206139,4,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
96,22.0,851.4882366742905,4,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
97,23.0,865.1742145014653,4,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
98,24.0,850.7589382272421,4,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
99,25.0,853.7885024929541,4,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
