"GeneID","PathwayID","Symbol","ENSEMBL","Path","Genename"
"103988","path:mmu00010","Gck","ENSMUSG00000041798","00010","glucokinase"
"106557","path:mmu00010","Ldhal6b","ENSMUSG00000101959","00010","lactate dehydrogenase A-like 6B"
"110695","path:mmu00010","Aldh7a1","ENSMUSG00000053644","00010","aldehyde dehydrogenase family 7, member A1"
"11522","path:mmu00010","Adh1","ENSMUSG00000074207","00010","alcohol dehydrogenase 1 (class I)"
"11529","path:mmu00010","Adh7","ENSMUSG00000055301","00010","alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide"
"11532","path:mmu00010","Adh5","ENSMUSG00000028138","00010","alcohol dehydrogenase 5 (class III), chi polypeptide"
"115487111","path:mmu00010","Gm29667",NA,NA,"predicted gene 29667"
"11669","path:mmu00010","Aldh2","ENSMUSG00000029455","00010","aldehyde dehydrogenase 2, mitochondrial"
"11670","path:mmu00010","Aldh3a1","ENSMUSG00000019102","00010","aldehyde dehydrogenase family 3, subfamily A1"
"11671","path:mmu00010","Aldh3a2","ENSMUSG00000010025","00010","aldehyde dehydrogenase family 3, subfamily A2"
"11674","path:mmu00010","Aldoa","ENSMUSG00000030695","00010","aldolase A, fructose-bisphosphate"
"11676","path:mmu00010","Aldoc","ENSMUSG00000017390","00010","aldolase C, fructose-bisphosphate"
"12183","path:mmu00010","Bpgm","ENSMUSG00000038871","00010","2,3-bisphosphoglycerate mutase"
"13382","path:mmu00010","Dld","ENSMUSG00000020664","00010","dihydrolipoamide dehydrogenase"
"13806","path:mmu00010","Eno1","ENSMUSG00000063524","00010","enolase 1, alpha non-neuron"
"13807","path:mmu00010","Eno2","ENSMUSG00000004267","00010","enolase 2, gamma neuronal"
"13808","path:mmu00010","Eno3","ENSMUSG00000060600","00010","enolase 3, beta muscle"
"14120","path:mmu00010","Fbp2","ENSMUSG00000021456","00010","fructose bisphosphatase 2"
"14121","path:mmu00010","Fbp1","ENSMUSG00000069805","00010","fructose bisphosphatase 1"
